device=cuda dtype=fp32 size=256 threads=2 torch=1.10.0
gpu=NVIDIA Tegra X1
fused scan available: False

cache  active%   ms/frame      FPS    watts   mJ/frame
--------------------------------------------------------
on        5.1     199.64      5.0     0.00       0.00
on       14.8     396.61      2.5     0.00       0.00
on       30.1     728.79      1.4     0.00       0.00
on       50.0    1134.05      0.9     0.00       0.00
on       69.9    1569.75      0.6     0.00       0.00
on      100.0    2189.90      0.5     0.00       0.00
off       5.1    2165.92      0.5     0.00       0.00
off      14.8    2163.78      0.5     0.00       0.00
off      30.1    2160.28      0.5     0.00       0.00
off      50.0    2161.47      0.5     0.00       0.00
off      69.9    2159.48      0.5     0.00       0.00
off     100.0    2160.73      0.5     0.00       0.00
