device=cuda dtype=fp32 size=256 threads=2 torch=1.10.0
gpu=NVIDIA Tegra X1
fused scan available: False
power source: /sys/bus/i2c/drivers/ina3221x/6-0040/iio:device0/in_power0_input

cache  active%   ms/frame      FPS    watts   mJ/frame
--------------------------------------------------------
on        5.1     157.93      6.3     3.91     617.40
on       14.8     351.02      2.8     3.98    1395.55
on       30.1     679.21      1.5     4.02    2727.10
on       50.0    1100.85      0.9     4.02    4425.83
on       69.9    1521.83      0.7     4.02    6118.84
on      100.0    2140.33      0.5     4.06    8684.48
off       5.1    2130.72      0.5     4.16    8863.44
off      14.8    2130.92      0.5     4.16    8857.09
off      30.1    2130.47      0.5     4.16    8854.64
off      50.0    2130.57      0.5     4.16    8861.31
off      69.9    2130.50      0.5     4.16    8865.82
off     100.0    2130.78      0.5     4.16    8865.49
