device=cpu dtype=fp32 size=256 threads=4 torch=2.13.0+cpu
fused scan available: False

cache  active%   ms/frame      FPS    watts   mJ/frame
--------------------------------------------------------
on        5.1     497.32      2.0     0.00       0.00
on       14.8    1141.04      0.9     0.00       0.00
on       30.1    2103.56      0.5     0.00       0.00
on       50.0    3446.39      0.3     0.00       0.00
on       69.9    4528.06      0.2     0.00       0.00
on      100.0    6676.42      0.1     0.00       0.00
off       5.1    7055.93      0.1     0.00       0.00
off      14.8    6988.25      0.1     0.00       0.00
off      30.1    6840.12      0.1     0.00       0.00
off      50.0    6836.74      0.1     0.00       0.00
off      69.9    6852.05      0.1     0.00       0.00
off     100.0    6901.17      0.1     0.00       0.00
