model,sequence,event,unique_frames,timed_frames_with_repeats,mean_ms,p95_ms
da2_350,rgbd_dataset_freiburg3_walking_static,single_frame,256,1280,13.02077582884067,13.217891960812267
da2_350,rgbd_bonn_crowd2,single_frame,256,1280,12.826710127183105,12.966542052163277
da2_350,rgbd_bonn_person_tracking2,single_frame,256,1280,12.819509353084868,12.95634153939318
da2_350,rgbd_bonn_static_close_far,single_frame,256,1280,12.938821815737356,13.03842602937948
sparse_k60,rgbd_dataset_freiburg3_walking_static,keyframe,5,25,8.525317842140794,9.04715201468207
sparse_k60,rgbd_dataset_freiburg3_walking_static,sparse,238,1190,8.069024685239068,8.843299037835095
sparse_k60,rgbd_dataset_freiburg3_walking_static,dense_fallback,13,65,8.49625573789056,8.565245603676885
sparse_k60,rgbd_bonn_crowd2,keyframe,5,25,8.611783043015748,9.865112003171815
sparse_k60,rgbd_bonn_crowd2,sparse,164,820,8.528165139964917,8.690545056015253
sparse_k60,rgbd_bonn_crowd2,dense_fallback,87,435,8.258586606323911,8.368272709776647
sparse_k60,rgbd_bonn_person_tracking2,keyframe,5,25,8.360820283414796,8.984489814611152
sparse_k60,rgbd_bonn_person_tracking2,sparse,199,995,8.525861812557736,8.715996891260147
sparse_k60,rgbd_bonn_person_tracking2,dense_fallback,52,260,8.223480922774447,8.370066017960198
sparse_k60,rgbd_bonn_static_close_far,keyframe,5,25,8.517828801413998,9.020300809061155
sparse_k60,rgbd_bonn_static_close_far,sparse,242,1210,7.584674296634126,8.763909844856244
sparse_k60,rgbd_bonn_static_close_far,dense_fallback,9,45,8.403092442959961,8.488421607762575
midas_256,rgbd_dataset_freiburg3_walking_static,single_frame,256,1280,9.530348985231285,9.679088361735921
midas_256,rgbd_bonn_crowd2,single_frame,256,1280,9.308068212612852,9.452454787970055
midas_256,rgbd_bonn_person_tracking2,single_frame,256,1280,9.321771656618694,9.505546239961404
midas_256,rgbd_bonn_static_close_far,single_frame,256,1280,9.415459098772772,9.543263648811262
gmc_k30,rgbd_dataset_freiburg3_walking_static,keyframe,9,45,7.820808733554764,8.273117808857933
gmc_k30,rgbd_dataset_freiburg3_walking_static,dense_fallback,207,1035,8.623751105570824,8.817539297160693
gmc_k30,rgbd_dataset_freiburg3_walking_static,sparse,35,175,8.896855171270934,9.112476601148956
gmc_k30,rgbd_dataset_freiburg3_walking_static,other_all_active,5,25,8.694582477910444,8.786315785255283
gmc_k30,rgbd_bonn_crowd2,keyframe,9,45,7.779272998191623,8.507461799308656
gmc_k30,rgbd_bonn_crowd2,dense_fallback,211,1055,8.398230535296008,8.56934230250772
gmc_k30,rgbd_bonn_crowd2,other_all_active,31,155,8.438488218234852,8.660470307222567
gmc_k30,rgbd_bonn_crowd2,sparse,5,25,8.622766878688708,8.816714998101816
gmc_k30,rgbd_bonn_person_tracking2,keyframe,9,45,7.73507637786679,8.46337300608866
gmc_k30,rgbd_bonn_person_tracking2,dense_fallback,212,1060,8.425598834033941,8.548256060748827
gmc_k30,rgbd_bonn_person_tracking2,sparse,26,130,8.763113784908246,8.850648389488924
gmc_k30,rgbd_bonn_person_tracking2,other_all_active,9,45,8.450650198048809,8.538672799477354
gmc_k30,rgbd_bonn_static_close_far,keyframe,9,45,7.757532401269095,8.071136602666229
gmc_k30,rgbd_bonn_static_close_far,sparse,119,595,8.759970541215823,8.904642594279721
gmc_k30,rgbd_bonn_static_close_far,dense_fallback,127,635,8.524754685331429,8.633102296153083
gmc_k30,rgbd_bonn_static_close_far,other_all_active,1,5,8.630208193790168,8.646935998694971
