scope,left,right,gauge,metric,left_equal_sequence,right_equal_sequence,difference,ci_low,ci_high,sign_flip_p,sequence_n,bootstrap_draws,sign_flip_draws
L8_existing_487,sparse_k30,dpt_common,median,absrel,0.12081358004995443,0.9480450785453695,-0.827231498495415,-2.161955075523201,-0.13280967341624744,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_common,median,delta1,0.8791605810259787,0.6123941807123757,0.26676640031360305,0.12507222330539688,0.3439048615137995,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_common,median,tce,0.02474463012912015,0.42863741005896067,-0.40389277992984046,-1.0534951095480634,-0.06435020560845336,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_common,scaleshift,absrel,0.1081662488883915,0.08402828573131113,0.024137963157080385,0.011073495670591654,0.03642866532099187,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_common,scaleshift,delta1,0.8840943908165609,0.9382554940776662,-0.054161103261105265,-0.06814044717471177,-0.041903672293883976,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_common,scaleshift,tce,0.02390844113164214,0.03631902323613726,-0.01241058210449512,-0.020968140468840372,-0.0068017051706301054,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_official,median,absrel,0.12081358004995443,0.6693540652681862,-0.5485404852182317,-1.1924300406296267,-0.18659547729838588,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_official,median,delta1,0.8791605810259787,0.5891868377356746,0.2899737432903041,0.13265853787824633,0.37913767763665895,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_official,median,tce,0.02474463012912015,0.3404822268366435,-0.3157375967075233,-0.6633528954416762,-0.11049478172529657,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_official,scaleshift,absrel,0.1081662488883915,0.07461961673989458,0.03354663214849693,0.022609859630470346,0.044073048305944315,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_official,scaleshift,delta1,0.8840943908165609,0.9503161047000577,-0.06622171388349671,-0.0817644876513352,-0.05567283512136878,0.125,4,256,16
L8_existing_487,sparse_k30,dpt_official,scaleshift,tce,0.02390844113164214,0.029497754355474297,-0.005589313223832157,-0.009454756426215138,-0.0033211673607214647,0.125,4,256,16
L8_existing_487,sparse_k30,da2_common,median,absrel,0.12081358004995443,0.4611728336945055,-0.3403592536445511,-0.531633000279359,-0.1490855070097431,0.125,4,256,16
L8_existing_487,sparse_k30,da2_common,median,delta1,0.8791605810259787,0.6128272037747207,0.26633337725125805,0.0868039780578275,0.4295147024878061,0.125,4,256,16
L8_existing_487,sparse_k30,da2_common,median,tce,0.02474463012912015,0.21722471941481758,-0.19248008928569743,-0.3866292141601744,-0.06790561347088352,0.125,4,256,16
L8_existing_487,sparse_k30,da2_common,scaleshift,absrel,0.1081662488883915,0.09560000892268981,0.012566239965701692,-0.028832143786733495,0.033764531458967226,0.625,4,256,16
L8_existing_487,sparse_k30,da2_common,scaleshift,delta1,0.8840943908165609,0.9445354222302049,-0.06044103141364404,-0.07188085436984976,-0.04900120845743833,0.125,4,256,16
L8_existing_487,sparse_k30,da2_common,scaleshift,tce,0.02390844113164214,0.042837470068347594,-0.018929028936705453,-0.043986606684737174,-0.004810916143669731,0.125,4,256,16
L8_existing_487,sparse_k30,da2_official,median,absrel,0.12081358004995443,0.5195765627976416,-0.3987629827476873,-0.5605313731094104,-0.26524657936663,0.125,4,256,16
L8_existing_487,sparse_k30,da2_official,median,delta1,0.8791605810259787,0.5783607665133358,0.3007998145126429,0.07608867963393133,0.43577351153896465,0.25,4,256,16
L8_existing_487,sparse_k30,da2_official,median,tce,0.02474463012912015,0.2519548624478882,-0.22721023231876802,-0.3952662009393355,-0.09021046681593162,0.125,4,256,16
L8_existing_487,sparse_k30,da2_official,scaleshift,absrel,0.1081662488883915,0.13346786933551258,-0.02530162044712106,-0.16072370536235447,0.048676493716541286,1.0,4,256,16
L8_existing_487,sparse_k30,da2_official,scaleshift,delta1,0.8840943908165609,0.9488865299309264,-0.0647921391143654,-0.07579698734983559,-0.05378729087889522,0.125,4,256,16
L8_existing_487,sparse_k30,da2_official,scaleshift,tce,0.02390844113164214,0.060474777926987855,-0.03656633679534571,-0.1066713366435815,-0.0006527149679143281,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,none,absrel,0.18267574802963374,0.39751990221498906,-0.21484415418535532,-0.24387444256795784,-0.17899289490878412,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,none,delta1,0.7437256991978556,0.19504051076255607,0.5486851884352995,0.33401102662832916,0.6856304162419309,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,none,tce,0.02492673166569262,0.01680963640175483,0.00811709526393779,0.00306060598570862,0.014494123068618367,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,median,absrel,0.12081358004995443,0.26785550998324653,-0.14704192993329213,-0.21445009789956554,-0.0950246659626273,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,median,delta1,0.8791605810259787,0.6305555189826848,0.2486050620432939,0.18288117442392066,0.344121234966999,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,median,tce,0.02474463012912015,0.021023288244088827,0.003721341885031322,-0.0014943034692860534,0.01206891629385687,0.625,4,256,16
L8_existing_487,sparse_k30,zoe_common,scaleshift,absrel,0.1081662488883915,0.32415470499296856,-0.21598845610457704,-0.43820803925006907,-0.09179884505289518,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,scaleshift,delta1,0.8840943908165609,0.6259882946211027,0.2581060961954582,0.20197820937783978,0.3142339830130766,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_common,scaleshift,tce,0.02390844113164214,0.12694011654435566,-0.10303167541271353,-0.265942268170137,0.0006884593722537163,0.5,4,256,16
L8_existing_487,sparse_k30,zoe_official,none,absrel,0.18267574802963374,0.1353745685869704,0.04730117944266335,0.0057027662309703,0.09792068827512501,0.25,4,256,16
L8_existing_487,sparse_k30,zoe_official,none,delta1,0.7437256991978556,0.8487083836430256,-0.10498268444517005,-0.27473354676463396,0.016941817090343148,0.5,4,256,16
L8_existing_487,sparse_k30,zoe_official,none,tce,0.02492673166569262,0.02547759375808883,-0.0005508620923962114,-0.004248508052080697,0.0031415939568867866,0.875,4,256,16
L8_existing_487,sparse_k30,zoe_official,median,absrel,0.12081358004995443,0.08251609909610971,0.03829748095384471,0.014370582301844338,0.07416965633531387,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_official,median,delta1,0.8791605810259787,0.9275626651902842,-0.04840208416430544,-0.09489585176166421,-0.008627441221220583,0.25,4,256,16
L8_existing_487,sparse_k30,zoe_official,median,tce,0.02474463012912015,0.024481454018864136,0.0002631761102560113,-0.0035938698655884303,0.004245876655272417,0.75,4,256,16
L8_existing_487,sparse_k30,zoe_official,scaleshift,absrel,0.1081662488883915,0.07293976315575523,0.03522648573263628,0.01566419153206893,0.05783821809665889,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_official,scaleshift,delta1,0.8840943908165609,0.9531769225221822,-0.06908253170562129,-0.0965836669713975,-0.054545829737438684,0.125,4,256,16
L8_existing_487,sparse_k30,zoe_official,scaleshift,tce,0.02390844113164214,0.022204724631849,0.001703716499793141,-0.0004222192008088363,0.004565218927640415,0.5,4,256,16
L256_existing_13,sparse_k30,dense_carry,none,absrel,0.21156499195892076,0.19684521567571986,0.0147197762832009,0.006259274182900926,0.024046536992135513,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,none,delta1,0.6874809946881731,0.7264191020835467,-0.03893810739537344,-0.05342518293247783,-0.02445103185826905,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,none,tce,0.029448581163080932,0.025396902436517557,0.004051678726563375,0.002404274247006404,0.005639707620760291,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,median,absrel,0.18415260957921256,0.16715282103663193,0.016999788542580652,0.00882296217030493,0.028995151084575108,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,median,delta1,0.7963817754394071,0.8307576599311459,-0.034375884491738784,-0.048367732593557866,-0.020384036389919702,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,median,tce,0.03096588451420441,0.026499759216103667,0.004466125298100746,0.0024439288391495135,0.006318011207561057,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,scaleshift,absrel,0.19561255925425772,0.16528297727694805,0.030329581977309665,0.005737635798361632,0.06839636073464236,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,scaleshift,delta1,0.7694981567403546,0.797317351179525,-0.02781919443917036,-0.04379190069737482,-0.011846488180965897,0.125,4,256,16
L256_existing_13,sparse_k30,dense_carry,scaleshift,tce,0.04117175586625255,0.02753749437740917,0.013634261488843384,0.0033413839143539292,0.03176301270213518,0.125,4,256,16
L256_existing_13,sparse_k30,dense_reset,none,absrel,0.21156499195892076,0.19572453099102596,0.015840460967894796,0.004754507224771637,0.022084569701882675,0.25,4,256,16
L256_existing_13,sparse_k30,dense_reset,none,delta1,0.6874809946881731,0.7366363672333434,-0.04915537254517015,-0.06280503792744194,-0.03217773821272997,0.125,4,256,16
L256_existing_13,sparse_k30,dense_reset,none,tce,0.029448581163080932,0.02870327695627557,0.0007453042068053641,-0.0001892499054959541,0.0019691574144174353,0.375,4,256,16
L256_existing_13,sparse_k30,dense_reset,median,absrel,0.18415260957921256,0.16532897189837045,0.01882363768084212,0.009448544753196866,0.027501293812584093,0.125,4,256,16
L256_existing_13,sparse_k30,dense_reset,median,delta1,0.7963817754394071,0.8379366506334008,-0.04155487519399367,-0.052741165399832535,-0.030368584988154812,0.125,4,256,16
L256_existing_13,sparse_k30,dense_reset,median,tce,0.03096588451420441,0.02984942152705968,0.0011164629871447318,-0.0002932863202407361,0.002957837410956232,0.375,4,256,16
L256_existing_13,sparse_k30,dense_reset,scaleshift,absrel,0.19561255925425772,0.16476703422264294,0.030845525031614775,0.0037449437310135246,0.07292499882832808,0.25,4,256,16
L256_existing_13,sparse_k30,dense_reset,scaleshift,delta1,0.7694981567403546,0.8067241305716926,-0.03722597383133805,-0.048159195394145815,-0.025989613828111408,0.125,4,256,16
L256_existing_13,sparse_k30,dense_reset,scaleshift,tce,0.04117175586625255,0.030837133877889295,0.010334621988363258,0.0005409991631528353,0.027474093772903815,0.25,4,256,16
L256_existing_13,sparse_k30,sparse_k5,none,absrel,0.21156499195892076,0.19638460809258074,0.01518038386634002,0.010451334638940407,0.02313307966268651,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,none,delta1,0.6874809946881731,0.7147156917195265,-0.027234697031353394,-0.036336664930487705,-0.018132729132219083,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,none,tce,0.029448581163080932,0.03209418640428642,-0.00264560524120549,-0.0041244639579128585,-0.0012683372453450113,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,median,absrel,0.18415260957921256,0.16693220405823342,0.01722040552097914,0.011325253897683109,0.0262626147960722,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,median,delta1,0.7963817754394071,0.8259087516481247,-0.02952697620871761,-0.0373703966194584,-0.021683555797976817,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,median,tce,0.03096588451420441,0.03390256601418342,-0.0029366814999790096,-0.004406023975054482,-0.001345669027092317,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,scaleshift,absrel,0.19561255925425772,0.16972383272559805,0.02588872652865968,0.010389345415789994,0.04801131799637613,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,scaleshift,delta1,0.7694981567403546,0.7980875395538675,-0.028589382813512892,-0.03770982232017267,-0.017720711063041378,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k5,scaleshift,tce,0.04117175586625255,0.041083672463540784,8.808340271176766e-05,-0.004603326116703024,0.007127110272682011,1.0,4,256,16
L256_existing_13,sparse_k30,sparse_k10,none,absrel,0.21156499195892076,0.2005508123650411,0.011014179593879639,0.007051279645902159,0.01756309480503103,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k10,none,delta1,0.6874809946881731,0.7052693413257372,-0.01778834663756404,-0.023824698802492522,-0.012252853481369397,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k10,none,tce,0.029448581163080932,0.03028978927522271,-0.000841208112141778,-0.0012220848058280033,-0.0002933080148312048,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k10,median,absrel,0.18415260957921256,0.17190698742318647,0.012245622156026103,0.008237755600314214,0.019032568228468588,0.125,4,256,16
L256_existing_13,sparse_k30,sparse_k10,median,delta1,0.7963817754394071,0.8170167383780725,-0.020634962938665374,-0.024365554712430848,-0.016865321948204365,0.125,4,256,16
