length,seed,gauge,absrel,rmse,delta1,tce,failed,catastrophic,n
8,1,none,0.193698064123278,0.8618534639233495,0.7310681288029297,0.027765332652211025,0,16,487
8,1,median,0.12525781708304523,0.5987650237999257,0.8686048015507825,0.027532785283115587,0,0,487
8,1,scaleshift,0.11459363398042283,0.6145551534596808,0.8659879381595674,0.024740381382916028,0,0,487
8,2,none,0.19405091358408819,0.8451334540594779,0.728312433955238,0.02730614013228467,0,16,487
8,2,median,0.12423849305479595,0.5861504075582086,0.8676562174730926,0.026951341312301307,0,0,487
8,2,scaleshift,0.11401138475814511,0.603057338337309,0.8639212555577592,0.02447480091446749,0,0,487
8,0,none,0.18920863233412988,0.8427591304313085,0.7373663037529556,0.02724522871018714,0,16,487
8,0,median,0.12353337888510621,0.5941174530518482,0.8678927355288648,0.026927868953391755,0,0,487
8,0,scaleshift,0.11534140092594707,1.5199286391859923,0.8654887517802949,0.025112644489301193,1,1,487
256,1,none,0.22418167883172918,0.9400003310268634,0.6735659983667108,0.03216156869950771,0,0,13
256,1,median,0.19102988741542687,0.7363923891111519,0.7912385245571226,0.03411003665437377,0,0,13
256,1,scaleshift,0.2075570471932834,5.309904442197919,0.7481207621987616,0.04007777309476521,2,0,13
256,2,none,0.22705925341988892,0.9254311626024827,0.6728412146586409,0.03159873624250034,0,0,13
256,2,median,0.1940934726373643,0.7323222942938694,0.7905577570153364,0.033392711513557126,0,0,13
256,2,scaleshift,0.19514955277229895,1.8154655501284365,0.7524834981094852,0.033846395659551456,2,0,13
256,0,none,0.22011143878194733,0.9197634688644952,0.6858703534811401,0.032124767920498086,0,0,13
256,0,median,0.19067887225109947,0.7342680204764909,0.7922354599287115,0.033954088709551355,0,0,13
256,0,scaleshift,0.2091448855232656,6.085452924236987,0.7548048430506047,0.04351147234885535,2,0,13
