length,gauge,metric,seed_n,mean,sample_sd,min,max
8,none,absrel,3,0.19231920334716535,0.0026996045461976327,0.18920863233412988,0.19405091358408819
8,none,rmse,3,0.8499153494713786,0.010406646226046494,0.8427591304313085,0.8618534639233495
8,none,delta1,3,0.7322489555037078,0.004641002408042751,0.728312433955238,0.7373663037529556
8,none,tce,3,0.027438900498227614,0.0002843343343691962,0.02724522871018714,0.027765332652211025
8,median,absrel,3,0.12434322967431581,0.0008669769859858613,0.12353337888510621,0.12525781708304523
8,median,rmse,3,0.5930109614699942,0.00637968482348334,0.5861504075582086,0.5987650237999257
8,median,delta1,3,0.86805125151758,0.0004937594830688552,0.8676562174730926,0.8686048015507825
8,median,tce,3,0.027137331849602885,0.0003426737536869942,0.026927868953391755,0.027532785283115587
8,scaleshift,absrel,3,0.11464880655483833,0.0006667224020380419,0.11401138475814511,0.11534140092594707
8,scaleshift,rmse,3,0.9125137103276607,0.5260681721869572,0.603057338337309,1.5199286391859923
8,scaleshift,delta1,3,0.8651326484992072,0.0010783790633424177,0.8639212555577592,0.8659879381595674
8,scaleshift,tce,3,0.024775942262228234,0.00032040527241643956,0.02447480091446749,0.025112644489301193
256,none,absrel,3,0.22378412367785513,0.003490926758910547,0.22011143878194733,0.22705925341988892
256,none,rmse,3,0.9283983208312804,0.010439620132491126,0.9197634688644952,0.9400003310268634
256,none,delta1,3,0.677425855502164,0.007322123151352373,0.6728412146586409,0.6858703534811401
256,none,tce,3,0.03196169095416871,0.0003148661086487899,0.03159873624250034,0.03216156869950771
256,median,absrel,3,0.1919340774346302,0.0018783087186589327,0.19067887225109947,0.1940934726373643
256,median,rmse,3,0.734327567960504,0.0020357007104573766,0.7323222942938694,0.7363923891111519
256,median,delta1,3,0.7913439138337234,0.0008438020746026081,0.7905577570153364,0.7922354599287115
256,median,tce,3,0.033818945625827414,0.0003772752035593052,0.033392711513557126,0.03411003665437377
256,scaleshift,absrel,3,0.2039504951629493,0.007663076918784004,0.19514955277229895,0.2091448855232656
256,scaleshift,rmse,3,4.403607638854447,2.2746930486495436,1.8154655501284365,6.085452924236987
256,scaleshift,delta1,3,0.7518030344529505,0.003393597987297917,0.7481207621987616,0.7548048430506047
256,scaleshift,tce,3,0.039145213701057335,0.004899558869901041,0.033846395659551456,0.04351147234885535
