scope,model,gauge,sequence,absrel,rmse,delta1,tce,failed,catastrophic,n
L8_existing_487,sparse_k30,none,rgbd_bonn_crowd2,0.16666702120530003,0.4070793186853101,0.835651770990743,0.031021966149138887,0,0,111
L8_existing_487,sparse_k30,none,rgbd_bonn_person_tracking2,0.10525504175418256,0.40393311018945743,0.8907425293922748,0.02004293768456885,0,0,70
L8_existing_487,sparse_k30,none,rgbd_bonn_static_close_far,0.3082974967468349,1.1603766047984154,0.3906793489259262,0.014577500932399071,0,16,217
L8_existing_487,sparse_k30,none,rgbd_dataset_freiburg3_walking_static,0.1504834324122175,0.806008307971688,0.8578291474824782,0.03406452189666367,0,0,89
L8_existing_487,sparse_k30,median,rgbd_bonn_crowd2,0.1590705129691517,0.4058351290022333,0.8388327019840233,0.030392662413816433,0,0,111
L8_existing_487,sparse_k30,median,rgbd_bonn_person_tracking2,0.08951317670903032,0.3692779892098925,0.9275075923218975,0.020422694569385395,0,0,70
L8_existing_487,sparse_k30,median,rgbd_bonn_static_close_far,0.10616998826801699,0.4116061148908647,0.9036189379457873,0.014669646064706023,0,0,217
L8_existing_487,sparse_k30,median,rgbd_dataset_freiburg3_walking_static,0.1285006422536187,0.7860726844359669,0.8466830918522069,0.03349351746857274,0,0,89
L8_existing_487,sparse_k30,scaleshift,rgbd_bonn_crowd2,0.12334716283173061,0.42186779396789026,0.8542331228086519,0.03129103297915335,0,0,111
L8_existing_487,sparse_k30,scaleshift,rgbd_bonn_person_tracking2,0.08290084443534684,0.34178244125453217,0.935976555126585,0.018619960202124367,0,0,70
L8_existing_487,sparse_k30,scaleshift,rgbd_bonn_static_close_far,0.09865540720574693,3.041330033308286,0.917685580873639,0.016963425958153044,1,1,217
L8_existing_487,sparse_k30,scaleshift,rgbd_dataset_freiburg3_walking_static,0.12776158108074165,0.8398718252219383,0.8284823044573677,0.028759345387137803,0,0,89
L8_existing_487,dpt_common,median,rgbd_bonn_crowd2,0.3583035148685578,50.7801190991782,0.5130433378576373,0.13574810083722452,3,2,111
L8_existing_487,dpt_common,median,rgbd_bonn_person_tracking2,0.26413966790321747,1.3865110031727308,0.5795872202146046,0.0796884778311802,0,0,70
L8_existing_487,dpt_common,median,rgbd_bonn_static_close_far,2.9305679252342225,651.988966042465,0.5637295870254811,1.3961849161437532,128,79,217
L8_existing_487,dpt_common,median,rgbd_dataset_freiburg3_walking_static,0.2391692061754799,50.43457133227085,0.7932165777517798,0.10292814542368467,3,1,89
L8_existing_487,dpt_common,scaleshift,rgbd_bonn_crowd2,0.09022285630765145,0.35495352180780804,0.930149895789823,0.04185771419916716,0,0,111
L8_existing_487,dpt_common,scaleshift,rgbd_bonn_person_tracking2,0.06292954783510486,0.23053910170949674,0.9807880248819189,0.02607581150736645,0,0,70
L8_existing_487,dpt_common,scaleshift,rgbd_bonn_static_close_far,0.05892238308784235,0.26260154406028835,0.9746058763491211,0.023110984994171174,0,0,217
L8_existing_487,dpt_common,scaleshift,rgbd_dataset_freiburg3_walking_static,0.12403835569464583,1.1756225301594967,0.8674781792898018,0.05423158224384427,0,0,89
L8_existing_487,dpt_official,median,rgbd_bonn_crowd2,0.44732446399815917,90.81172935370346,0.4629982046307258,0.1944179249161385,7,3,111
L8_existing_487,dpt_official,median,rgbd_bonn_person_tracking2,0.33445110113338805,71.66625109971301,0.5450667344018771,0.10684741573349006,1,1,70
L8_existing_487,dpt_official,median,rgbd_bonn_static_close_far,1.6144307342994,435.1383362489764,0.5535992047777847,0.8444650858195003,82,53,217
L8_existing_487,dpt_official,median,rgbd_dataset_freiburg3_walking_static,0.2812099616417974,155.73141104026936,0.795083207132311,0.21619848087744506,14,2,89
L8_existing_487,dpt_official,scaleshift,rgbd_bonn_crowd2,0.08152038801086316,0.3405608707536378,0.9443844834555427,0.03517413670023147,0,0,111
L8_existing_487,dpt_official,scaleshift,rgbd_bonn_person_tracking2,0.053064633686919056,0.19426892005553717,0.990718356704654,0.021681207333739114,0,0,70
L8_existing_487,dpt_official,scaleshift,rgbd_bonn_static_close_far,0.05233608541472576,0.23746929705200587,0.9810754055179975,0.021064354006194663,0,0,217
L8_existing_487,dpt_official,scaleshift,rgbd_dataset_freiburg3_walking_static,0.11155735984707034,1.159688353005065,0.8850861731220362,0.040071319381731946,0,0,89
L8_existing_487,da2_common,median,rgbd_bonn_crowd2,0.3222755889920588,10.550287566252173,0.5432923873094345,0.12903775003574455,21,2,111
L8_existing_487,da2_common,median,rgbd_bonn_person_tracking2,0.2244791147056094,1.4042115021382557,0.657685004580205,0.06190824825384984,0,0,70
L8_existing_487,da2_common,median,rgbd_bonn_static_close_far,0.6430016060078643,19.983767566892098,0.42087353054261,0.16183543889484675,17,7,217
L8_existing_487,da2_common,median,rgbd_dataset_freiburg3_walking_static,0.6549350250724895,99.1518029397235,0.8294578926666332,0.5161174404748292,75,15,89
L8_existing_487,da2_common,scaleshift,rgbd_bonn_crowd2,0.09083973879050354,0.3247890516211748,0.9319912716890016,0.040843480729279576,0,0,111
L8_existing_487,da2_common,scaleshift,rgbd_bonn_person_tracking2,0.04987560402683124,0.18724026602899257,0.9879720387488568,0.02494087981300468,0,0,70
L8_existing_487,da2_common,scaleshift,rgbd_bonn_static_close_far,0.06447183994086632,0.249883384640292,0.9836891407329889,0.020264338634612192,0,0,217
L8_existing_487,da2_common,scaleshift,rgbd_dataset_freiburg3_walking_static,0.17721285293255817,13.281042806466477,0.8744892377499726,0.08530118109649393,7,3,89
L8_existing_487,da2_official,median,rgbd_bonn_crowd2,0.39774860310421756,8.172003886734064,0.42341705032335647,0.10148365899493123,14,2,111
L8_existing_487,da2_official,median,rgbd_bonn_person_tracking2,0.38132824530722437,42.653808986694614,0.5588350463076079,0.12975263162013384,7,2,70
