model,gauge,source,params,input,future_frames,absrel,rmse,delta1,tce,failed,catastrophic,n
sparse_k30,none,tum,4185872,256x256,False,0.1504834324122175,0.806008307971688,0.8578291474824782,0.03406452189666367,0,0,89
sparse_k30,none,bonn,4185872,256x256,False,0.22793383225604222,0.8795099528909288,0.6169034600234332,0.02042593552371062,0,16,398
sparse_k30,none,balanced,4185872,256x256,False,0.18920863233412988,0.8427591304313085,0.7373663037529556,0.02724522871018714,0,16,487
sparse_k30,median,tum,4185872,256x256,False,0.1285006422536187,0.7860726844359669,0.8466830918522069,0.03349351746857274,0,0,89
sparse_k30,median,bonn,4185872,256x256,False,0.1185661155165937,0.4021622216677294,0.8891023792055227,0.020362220438210774,0,0,398
sparse_k30,median,balanced,4185872,256x256,False,0.12353337888510621,0.5941174530518482,0.8678927355288648,0.026927868953391755,0,0,487
sparse_k30,scaleshift,tum,4185872,256x256,False,0.12776158108074165,0.8398718252219383,0.8284823044573677,0.028759345387137803,0,0,89
sparse_k30,scaleshift,bonn,4185872,256x256,False,0.10292122077115248,2.1999854531500462,0.9024951991032223,0.021465943591464587,1,1,398
sparse_k30,scaleshift,balanced,4185872,256x256,False,0.11534140092594707,1.5199286391859923,0.8654887517802949,0.025112644489301193,1,1,487
dpt_common,median,tum,343030465,256x256,False,0.2391692061754799,50.43457133227085,0.7932165777517798,0.10292814542368467,3,1,89
dpt_common,median,bonn,343030465,256x256,False,1.6655577462982503,468.7847904492544,0.5518329035379057,0.776493019346777,131,81,398
dpt_common,median,balanced,343030465,256x256,False,0.9523634762368651,259.6096808907626,0.6725247406448427,0.4397105823852308,134,82,487
dpt_common,scaleshift,tum,343030465,256x256,False,0.12403835569464583,1.1756225301594967,0.8674781792898018,0.05423158224384427,0,0,89
dpt_common,scaleshift,bonn,343030465,256x256,False,0.068897878278442,0.28763317481517603,0.9626996375070954,0.029154512878129236,0,0,398
dpt_common,scaleshift,balanced,343030465,256x256,False,0.09646811698654392,0.7316278524873363,0.9150889083984486,0.041693047560986754,0,0,487
dpt_official,median,tum,343030465,384x384,False,0.2812099616417974,155.73141104026936,0.795083207132311,0.21619848087744506,14,2,89
dpt_official,median,bonn,343030465,384x384,False,1.027097758791826,317.7318013697807,0.5253087408543046,0.513667671172992,90,57,398
dpt_official,median,balanced,343030465,384x384,False,0.6541538602168117,236.73160620502506,0.6601959739933078,0.3649330760252185,104,59,487
dpt_official,scaleshift,tum,343030465,384x384,False,0.11155735984707034,1.159688353005065,0.8850861731220362,0.040071319381731946,0,0,89
dpt_official,scaleshift,bonn,343030465,384x384,False,0.06106418131749507,0.2652859902857715,0.9721138112994009,0.025304670211056864,0,0,398
dpt_official,scaleshift,balanced,343030465,384x384,False,0.0863107705822827,0.7124871716454182,0.9285999922107185,0.03268799479639441,0,0,487
da2_common,median,tum,24785089,252x252,False,0.6549350250724895,99.1518029397235,0.8294578926666332,0.5161174404748292,75,15,89
da2_common,median,bonn,24785089,252x252,False,0.46887845178396814,15.455577080183643,0.5020160485671313,0.13316866011225928,38,9,398
da2_common,median,balanced,24785089,252x252,False,0.5619067384282288,57.30369000995357,0.6657369706168823,0.32464305029354423,113,24,487
da2_common,scaleshift,tum,24785089,252x252,False,0.17721285293255817,13.281042806466477,0.8744892377499726,0.08530118109649393,7,3,89
