model,gauge,source,region,absrel,delta1,px
sparse_k30,none,tum,all,0.15048343247297208,0.8578291474824782,32147785.0
sparse_k30,none,tum,edge,0.1811656779909327,0.7391649171658563,5455842.0
sparse_k30,none,tum,flat,0.14421196818701526,0.8820841555071506,26691943.0
sparse_k30,none,tum,dynamic,0.532666423612292,0.4838802639976945,2828055.0
sparse_k30,none,tum,static,0.11361970296697395,0.8938986477706309,29319730.0
sparse_k30,none,tum,near,0.3955986784017259,0.6510771905320113,5478418.0
sparse_k30,none,tum,mid,0.09850790781641856,0.9081117509845783,23736811.0
sparse_k30,none,tum,far,0.11327676399647851,0.8370708010350015,2932556.0
sparse_k30,none,bonn,all,0.22793383214405016,0.6169034600234332,177396024.0
sparse_k30,none,bonn,edge,0.21639762950920435,0.6356983747879021,12062241.0
sparse_k30,none,bonn,flat,0.22877547854330005,0.6155322412238036,165333783.0
sparse_k30,none,bonn,dynamic,0.4380208897243337,0.5251494558915466,23694449.0
sparse_k30,none,bonn,static,0.19554706534188773,0.6310481463836659,153701575.0
sparse_k30,none,bonn,near,0.3772206952238121,0.5902600593865184,44089468.0
sparse_k30,none,bonn,mid,0.1431974868057009,0.725471253959975,113446739.0
sparse_k30,none,bonn,far,0.3805577814665816,0.05587266992440061,19859817.0
sparse_k30,median,tum,all,0.1285006417675821,0.8466830918522069,32147785.0
sparse_k30,median,tum,edge,0.16580068257781636,0.7492306412099178,5455842.0
sparse_k30,median,tum,flat,0.1208765001246701,0.8666024050778169,26691943.0
sparse_k30,median,tum,dynamic,0.4450427770413979,0.4521595230644383,2828055.0
sparse_k30,median,tum,static,0.09796834819345625,0.8847371377567256,29319730.0
sparse_k30,median,tum,near,0.36169200786571165,0.612035445269054,5478418.0
sparse_k30,median,tum,mid,0.07471169360475328,0.9022193419326632,23736811.0
sparse_k30,median,tum,far,0.12824771652977918,0.8355134565205234,2932556.0
sparse_k30,median,bonn,all,0.11856611555031703,0.8891023792055227,177396024.0
sparse_k30,median,bonn,edge,0.15512592390301227,0.7866240609850192,12062241.0
sparse_k30,median,bonn,flat,0.11589882540781493,0.8965788800707476,165333783.0
sparse_k30,median,bonn,dynamic,0.29996086014105355,0.6606477745061723,23694449.0
sparse_k30,median,bonn,static,0.09060252106661637,0.924320664898847,153701575.0
sparse_k30,median,bonn,near,0.2190056522913845,0.7636477945254408,44089468.0
sparse_k30,median,bonn,mid,0.08398080556738086,0.9339345576076894,113446739.0
sparse_k30,median,bonn,far,0.09315122525777074,0.9115175633290075,19859817.0
sparse_k30,scaleshift,tum,all,0.12776157937961355,0.8284823044573677,32147785.0
sparse_k30,scaleshift,tum,edge,0.16420770648376776,0.7304557206751955,5455842.0
sparse_k30,scaleshift,tum,flat,0.12031197858505,0.8485189706871471,26691943.0
sparse_k30,scaleshift,tum,dynamic,0.31510629404708845,0.5554485326487639,2828055.0
sparse_k30,scaleshift,tum,static,0.10969111545951736,0.8548179672868748,29319730.0
sparse_k30,scaleshift,tum,near,0.26306862510148205,0.6760685292725016,5478418.0
sparse_k30,scaleshift,tum,mid,0.08460180529305306,0.8875668260576368,23736811.0
sparse_k30,scaleshift,tum,far,0.224334975710036,0.6349679255911908,2932556.0
sparse_k30,scaleshift,bonn,all,0.10292122023426102,0.9024951991032223,177396024.0
sparse_k30,scaleshift,bonn,edge,0.1483693230212792,0.7919108066237442,12062241.0
sparse_k30,scaleshift,bonn,flat,0.09960546793858448,0.9105630940531978,165333783.0
sparse_k30,scaleshift,bonn,dynamic,0.19746394690207136,0.7821652657970649,23694449.0
sparse_k30,scaleshift,bonn,static,0.08834662827281263,0.9210451161609763,153701575.0
sparse_k30,scaleshift,bonn,near,0.15831570877250195,0.8391476168412828,44089468.0
sparse_k30,scaleshift,bonn,mid,0.08486845689657756,0.9257023597654931,113446739.0
sparse_k30,scaleshift,bonn,far,0.08306774922808183,0.9105609583411569,19859817.0
dpt_common,median,tum,all,0.23916921152188245,0.7932165777517798,32147785.0
dpt_common,median,tum,edge,0.2122020011452002,0.7364463633660946,5455842.0
dpt_common,median,tum,flat,0.2446813160148879,0.8048204283966889,26691943.0
dpt_common,median,tum,dynamic,0.19022281204780894,0.82945770149449,2828055.0
dpt_common,median,tum,static,0.24389036982839712,0.7897209148924632,29319730.0
dpt_common,median,tum,near,0.4244364790781534,0.8343996387278225,5478418.0
dpt_common,median,tum,mid,0.1329614118887695,0.8707942275817927,23736811.0
dpt_common,median,tum,far,0.752735844461229,0.08834886699520828,2932556.0
dpt_common,median,bonn,all,1.6655577521314595,0.5518329035379057,177396024.0
dpt_common,median,bonn,edge,0.34681258698038475,0.5171191655016676,12062241.0
dpt_common,median,bonn,flat,1.7617693172241706,0.5543655104050936,165333783.0
dpt_common,median,bonn,dynamic,0.8998758526995391,0.5407680085744978,23694449.0
dpt_common,median,bonn,static,1.7835943674693584,0.5535386543696771,153701575.0
dpt_common,median,bonn,near,0.4130106886842454,0.6804439327777781,44089468.0
dpt_common,median,bonn,mid,2.137360375103208,0.5666341277557568,113446739.0
dpt_common,median,bonn,far,1.7511406885404444,0.1817618963961249,19859817.0
dpt_common,scaleshift,tum,all,0.12403835496559094,0.8674781792898018,32147785.0
dpt_common,scaleshift,tum,edge,0.15203292223987838,0.8024451587857566,5455842.0
dpt_common,scaleshift,tum,flat,0.1183162558758836,0.8807709502451733,26691943.0
dpt_common,scaleshift,tum,dynamic,0.13410463097655015,0.8835132272887196,2828055.0
dpt_common,scaleshift,tum,static,0.12306740551712106,0.8659315075548104,29319730.0
dpt_common,scaleshift,tum,near,0.1276679808200012,0.9194486437508055,5478418.0
dpt_common,scaleshift,tum,mid,0.08662310252588795,0.9378375637738363,23736811.0
dpt_common,scaleshift,tum,far,0.420105736811537,0.20088448438836293,2932556.0
dpt_common,scaleshift,bonn,all,0.06889787831956135,0.9626996375070954,177396024.0
dpt_common,scaleshift,bonn,edge,0.10788931947680454,0.8889319986228098,12062241.0
dpt_common,scaleshift,bonn,flat,0.06605318333579328,0.968081496084802,165333783.0
dpt_common,scaleshift,bonn,dynamic,0.10215727149718846,0.9174618916016997,23694449.0
dpt_common,scaleshift,bonn,static,0.06377065038683048,0.9696734337302659,153701575.0
dpt_common,scaleshift,bonn,near,0.08011522112887008,0.9501234399108649,44089468.0
dpt_common,scaleshift,bonn,mid,0.0658721219943961,0.9640042363844412,113446739.0
dpt_common,scaleshift,bonn,far,0.061279251468396474,0.9831668640249807,19859817.0
dpt_official,median,tum,all,0.2812099583610504,0.795083207132311,32147785.0
dpt_official,median,tum,edge,0.20418900567959997,0.7319174565539105,5455842.0
dpt_official,median,tum,flat,0.29695306955548345,0.8079943074957113,26691943.0
dpt_official,median,tum,dynamic,0.2507789037158926,0.7114815659525716,2828055.0
dpt_official,median,tum,static,0.28414520526685444,0.8031470617226011,29319730.0
dpt_official,median,tum,near,0.295592212880987,0.7035333923041287,5478418.0
dpt_official,median,tum,mid,0.12582210085989964,0.9004386478031948,23736811.0
dpt_official,median,tum,far,1.512088415222026,0.11333867111148091,2932556.0
dpt_official,median,bonn,all,1.027097762197702,0.5253087408543046,177396024.0
dpt_official,median,bonn,edge,0.4117550519924293,0.49920267718079914,12062241.0
dpt_official,median,bonn,flat,1.0719912660939435,0.5272133584459263,165333783.0
dpt_official,median,bonn,dynamic,0.536205400920606,0.4738070507569094,23694449.0
dpt_official,median,bonn,static,1.1027731269532124,0.5332481791419509,153701575.0
dpt_official,median,bonn,near,0.3401295868713722,0.6325902594243142,44089468.0
dpt_official,median,bonn,mid,1.2561345042376617,0.5462390681851155,113446739.0
dpt_official,median,bonn,far,1.243846373932564,0.16757823095751587,19859817.0
dpt_official,scaleshift,tum,all,0.11155736154819842,0.8850861731220362,32147785.0
dpt_official,scaleshift,tum,edge,0.14211063720420583,0.8198281768423645,5455842.0
dpt_official,scaleshift,tum,flat,0.10531226090338852,0.8984249292005456,26691943.0
dpt_official,scaleshift,tum,dynamic,0.1174094957309517,0.9047727148163667,2828055.0
dpt_official,scaleshift,tum,static,0.11099288905670346,0.8831872940166912,29319730.0
dpt_official,scaleshift,tum,near,0.10956890250829696,0.9328731396545499,5478418.0
dpt_official,scaleshift,tum,mid,0.07360382072576271,0.960008612782905,23736811.0
dpt_official,scaleshift,tum,far,0.4224771274481843,0.18937336576010824,2932556.0
dpt_official,scaleshift,bonn,all,0.06106418125626823,0.9721138112994009,177396024.0
dpt_official,scaleshift,bonn,edge,0.09993114417448318,0.9089474335656201,12062241.0
dpt_official,scaleshift,bonn,flat,0.0582285679919436,0.9767222346808577,165333783.0
dpt_official,scaleshift,bonn,dynamic,0.09136330382031113,0.9304470426807562,23694449.0
dpt_official,scaleshift,bonn,static,0.0563933050112277,0.9785371099808183,153701575.0
dpt_official,scaleshift,bonn,near,0.07220141216069836,0.9615334664505364,44089468.0
dpt_official,scaleshift,bonn,mid,0.05717179935518331,0.9737022850872779,113446739.0
dpt_official,scaleshift,bonn,far,0.05857389851390865,0.9865285767738947,19859817.0
da2_common,median,tum,all,0.6549350327275658,0.8294578926666332,32147785.0
da2_common,median,tum,edge,0.4001510693935395,0.7812209371165807,5455842.0
da2_common,median,tum,flat,0.707012950938744,0.8393175423759897,26691943.0
da2_common,median,tum,dynamic,0.7865312922259933,0.7043756221148457,2828055.0
da2_common,median,tum,static,0.6422418253531836,0.8415227902849037,29319730.0
da2_common,median,tum,near,0.9107236306764548,0.7994023092067819,5478418.0
da2_common,median,tum,mid,0.3633900759766919,0.9058066393164609,23736811.0
da2_common,median,tum,far,2.5369214037121117,0.26762080587719383,2932556.0
da2_common,median,bonn,all,0.468878449416846,0.5020160485671313,177396024.0
da2_common,median,bonn,edge,0.4745245410631169,0.4735735258481405,12062241.0
da2_common,median,bonn,flat,0.4684665302317135,0.5040911269779631,165333783.0
da2_common,median,bonn,dynamic,0.5875304869788288,0.4954777804708605,23694449.0
da2_common,median,bonn,static,0.45058719774931105,0.5030239800730735,153701575.0
da2_common,median,bonn,near,0.26300812940674756,0.6017910445188407,44089468.0
da2_common,median,bonn,mid,0.3849689731748373,0.5323393032919175,113446739.0
da2_common,median,bonn,far,1.4052400473605218,0.10729434213819795,19859817.0
da2_common,scaleshift,tum,all,0.1772128528718036,0.8744892377499726,32147785.0
da2_common,scaleshift,tum,edge,0.18010787400288075,0.8091130571596464,5455842.0
da2_common,scaleshift,tum,flat,0.1766211139098463,0.8878521507407685,26691943.0
da2_common,scaleshift,tum,dynamic,0.3359684915737798,0.8199493998525489,2828055.0
da2_common,scaleshift,tum,static,0.1618999690945099,0.8797499158416534,29319730.0
da2_common,scaleshift,tum,near,0.2944577565468817,0.8691036353925531,5478418.0
da2_common,scaleshift,tum,mid,0.10383702938892043,0.933277642055624,23736811.0
da2_common,scaleshift,tum,far,0.5521047583002784,0.40870285171024867,2932556.0
da2_common,scaleshift,bonn,all,0.06945162723890845,0.9692897119272527,177396024.0
da2_common,scaleshift,bonn,edge,0.10870557766955309,0.900435831119607,12062241.0
da2_common,scaleshift,bonn,flat,0.06658778051051625,0.9743130779267296,165333783.0
da2_common,scaleshift,bonn,dynamic,0.11563631387268575,0.9084763270924764,23694449.0
da2_common,scaleshift,bonn,static,0.06233185170050889,0.9786646298191805,153701575.0
da2_common,scaleshift,bonn,near,0.09221047808910145,0.9461274969341884,44089468.0
da2_common,scaleshift,bonn,mid,0.06223510158921041,0.9753893146280741,113446739.0
da2_common,scaleshift,bonn,far,0.06014971061819053,0.9858673924336765,19859817.0
da2_official,median,tum,all,0.5429559340655196,0.8837034028938541,32147785.0
da2_official,median,tum,edge,0.2212661516910165,0.8280371755633685,5455842.0
da2_official,median,tum,flat,0.6087094432098387,0.8950815982186086,26691943.0
da2_official,median,tum,dynamic,0.6566546504389789,0.7677612351952137,2828055.0
da2_official,median,tum,static,0.5319890511866924,0.8948866855185911,29319730.0
da2_official,median,tum,near,0.7658088136364495,0.8161697409726677,5478418.0
da2_official,median,tum,mid,0.37337974722935346,0.9676842436837871,23736811.0
da2_official,median,tum,far,1.4992263611478136,0.33010452315318106,2932556.0
da2_official,median,bonn,all,0.5793272012842472,0.46161525581881135,177396024.0
da2_official,median,bonn,edge,0.6567187661434778,0.4305439594516475,12062241.0
da2_official,median,bonn,flat,0.5736809512555961,0.4638821214173754,165333783.0
da2_official,median,bonn,dynamic,0.9031728834080979,0.4994165089046806,23694449.0
da2_official,median,bonn,static,0.5294035437804452,0.4557878603391019,153701575.0
da2_official,median,bonn,near,0.38061841532495466,0.6107934665938813,44089468.0
da2_official,median,bonn,mid,0.5032345546722811,0.46728928012642124,113446739.0
da2_official,median,bonn,far,1.4551372460564234,0.09802240373111193,19859817.0
da2_official,scaleshift,tum,all,0.3549020971866724,0.8806499732407691,32147785.0
da2_official,scaleshift,tum,edge,0.20874016447787758,0.8231495706803826,5455842.0
da2_official,scaleshift,tum,flat,0.3847776414420964,0.8924030745907108,26691943.0
da2_official,scaleshift,tum,dynamic,1.4720247018888992,0.8873338743411991,2828055.0
da2_official,scaleshift,tum,static,0.24714925031923896,0.8800052728998528,29319730.0
da2_official,scaleshift,tum,near,1.1339853960565192,0.9018114353450212,5478418.0
da2_official,scaleshift,tum,mid,0.10009987917441553,0.9574214076187404,23736811.0
da2_official,scaleshift,tum,far,0.9618974301183422,0.21971106434114132,2932556.0
da2_official,scaleshift,bonn,all,0.05800705334514329,0.9735584660003428,177396024.0
da2_official,scaleshift,bonn,edge,0.09473096442640476,0.9173140380796571,12062241.0
da2_official,scaleshift,bonn,flat,0.05532779049950055,0.9776618853510417,165333783.0
da2_official,scaleshift,bonn,dynamic,0.1049354233713606,0.9317776918973723,23694449.0
da2_official,scaleshift,bonn,static,0.05077263239287791,0.9799993396294084,153701575.0
da2_official,scaleshift,bonn,near,0.08061438014006919,0.960351687618458,44089468.0
da2_official,scaleshift,bonn,mid,0.05087403090361078,0.9758693636843981,113446739.0
da2_official,scaleshift,bonn,far,0.04856452463039237,0.9896772462706983,19859817.0
zoe_common,none,tum,all,0.37977441087698577,0.21301675994162583,32147785.0
zoe_common,none,tum,edge,0.3632764984276258,0.2050213330957898,5455842.0
zoe_common,none,tum,flat,0.3831465884082511,0.21465102784012388,26691943.0
zoe_common,none,tum,dynamic,0.314461517155058,0.5550991759354044,2828055.0
zoe_common,none,tum,static,0.38607420935066594,0.18002096199385192,29319730.0
zoe_common,none,tum,near,0.17940745509772213,0.8093842054403296,5478418.0
zoe_common,none,tum,mid,0.37652693166243983,0.10169318869329161,23736811.0
zoe_common,none,tum,far,0.780373330027095,0.0,2932556.0
zoe_common,none,bonn,all,0.4269879384923388,0.17296702207936746,177396024.0
zoe_common,none,bonn,edge,0.3897350678364784,0.22408514305094718,12062241.0
zoe_common,none,bonn,flat,0.4297057929608631,0.16923760221466655,165333783.0
zoe_common,none,bonn,dynamic,0.5735233917864752,0.2959831224604548,23694449.0
zoe_common,none,bonn,static,0.40439820903965523,0.15400300875251277,153701575.0
zoe_common,none,bonn,near,0.44022539923900195,0.5747112893265122,44089468.0
zoe_common,none,bonn,mid,0.3865705767363241,0.047114152836072266,113446739.0
zoe_common,none,bonn,far,0.6284794833397757,0.0,19859817.0
zoe_common,median,tum,all,0.2618412608705001,0.6119654900018773,32147785.0
zoe_common,median,tum,edge,0.2511669635144653,0.6090971842659666,5455842.0
zoe_common,median,tum,flat,0.26402308987491097,0.612551772645401,26691943.0
zoe_common,median,tum,dynamic,0.6017295108761114,0.1724386548352136,2828055.0
zoe_common,median,tum,static,0.22905710431593332,0.6543603573429906,29319730.0
zoe_common,median,tum,near,0.6009823557939651,0.08371960664556811,5478418.0
zoe_common,median,tum,mid,0.1374793235178053,0.8094888567802979,23736811.0
zoe_common,median,tum,far,0.6348943582886823,0.0,2932556.0
zoe_common,median,bonn,all,0.27259368811013857,0.5962634765703655,177396024.0
zoe_common,median,bonn,edge,0.26479371749711417,0.536256571229177,12062241.0
zoe_common,median,bonn,flat,0.27316275036987253,0.6006413946265295,165333783.0
zoe_common,median,bonn,dynamic,0.7699591616806257,0.2998559282809235,23694449.0
zoe_common,median,bonn,static,0.19592042829172066,0.6419573059026884,153701575.0
zoe_common,median,bonn,near,0.5422532631118737,0.42898254068295855,44089468.0
zoe_common,median,bonn,mid,0.16901655920619166,0.7184346832569599,113446739.0
zoe_common,median,bonn,far,0.26561176315919494,0.2697449830479304,19859817.0
zoe_common,scaleshift,tum,all,0.23108367341638,0.6206651562463791,32147785.0
zoe_common,scaleshift,tum,edge,0.22282221762957258,0.6240613272891701,5455842.0
zoe_common,scaleshift,tum,flat,0.23277231482829855,0.6199709777590938,26691943.0
zoe_common,scaleshift,tum,dynamic,0.3865630230727117,0.35156918801084136,2828055.0
zoe_common,scaleshift,tum,static,0.21608680413858689,0.646620995486657,29319730.0
zoe_common,scaleshift,tum,near,0.41209131353733186,0.2998194004181499,5478418.0
zoe_common,scaleshift,tum,mid,0.14279696124592095,0.7711007177838675,23736811.0
zoe_common,scaleshift,tum,far,0.6075503209033988,0.00238767818926561,2932556.0
zoe_common,scaleshift,bonn,all,0.3472794205434126,0.6145546700640822,177396024.0
zoe_common,scaleshift,bonn,edge,0.30219154195422404,0.4683078376563692,12062241.0
zoe_common,scaleshift,bonn,flat,0.35056889078674486,0.6252243862344818,165333783.0
zoe_common,scaleshift,bonn,dynamic,0.5436420394603627,0.35814970839794585,23694449.0
zoe_common,scaleshift,bonn,static,0.31700839610064796,0.6540817489996443,153701575.0
zoe_common,scaleshift,bonn,near,0.3085384860666552,0.4796616507144064,44089468.0
zoe_common,scaleshift,bonn,mid,0.38024014132809847,0.6952643125334789,113446739.0
zoe_common,scaleshift,bonn,far,0.24500161331194104,0.4529779403304673,19859817.0
zoe_official,none,tum,all,0.12777762211105678,0.834165775340354,32147785.0
zoe_official,none,tum,edge,0.14694755673926568,0.7947928110821391,5455842.0
zoe_official,none,tum,flat,0.12385928241529663,0.8422136222904417,26691943.0
zoe_official,none,tum,dynamic,0.12009627234746896,0.8827572306762068,2828055.0
zoe_official,none,tum,static,0.12851853186563705,0.8294788526360918,29319730.0
zoe_official,none,tum,near,0.1608968709961497,0.7337118124246818,5478418.0
zoe_official,none,tum,mid,0.07426126892437762,0.9528636344621019,23736811.0
zoe_official,none,tum,far,0.49908050096166107,0.06105868055034584,2932556.0
zoe_official,none,bonn,all,0.15069126751887463,0.8301803821713614,177396024.0
zoe_official,none,bonn,edge,0.1546521828468936,0.8062440470224397,12062241.0
zoe_official,none,bonn,flat,0.15040229137135047,0.8319267030864467,165333783.0
zoe_official,none,bonn,dynamic,0.28326861012678756,0.6898354547092443,23694449.0
zoe_official,none,bonn,static,0.13025330478592287,0.8518157865330918,153701575.0
zoe_official,none,bonn,near,0.2934703761608479,0.6270162071359083,44089468.0
zoe_official,none,bonn,mid,0.10379611392940911,0.8910110232432508,113446739.0
zoe_official,none,bonn,far,0.10159954234007462,0.933724263420957,19859817.0
zoe_official,median,tum,all,0.11898276183238596,0.8415181014803975,32147785.0
zoe_official,median,tum,edge,0.13986707605695875,0.8019623735438086,5455842.0
zoe_official,median,tum,flat,0.1147140016652216,0.8496033053869476,26691943.0
zoe_official,median,tum,dynamic,0.12805547955965788,0.868888334915693,2828055.0
zoe_official,median,tum,static,0.11810764624463203,0.8388780865308105,29319730.0
zoe_official,median,tum,near,0.16615783328275893,0.745413000614411,5478418.0
zoe_official,median,tum,mid,0.06133216573899449,0.9593345963785953,23736811.0
zoe_official,median,tum,far,0.4974909819497053,0.067420707396551,2932556.0
zoe_official,median,bonn,all,0.07236024066634496,0.9497814280211827,177396024.0
zoe_official,median,bonn,edge,0.10382547147249088,0.9012554134841113,12062241.0
zoe_official,median,bonn,flat,0.07006463526461407,0.9533217358245532,165333783.0
zoe_official,median,bonn,dynamic,0.12513463226968488,0.8721700175429274,23694449.0
zoe_official,median,bonn,static,0.06422460434791548,0.9617459092400322,153701575.0
zoe_official,median,bonn,near,0.11448298785174142,0.8739171223386047,44089468.0
