model,gauge,absrel,rmse,delta1,tce,first8_absrel,last8_absrel,late_early_relative_change,active_all,n
sparse_k30,none,0.22011143878194733,0.9197634688644952,0.6858703534811401,0.032124767920498086,0.16030104129668346,0.1586006366425928,-0.0106075708575315,0.24177620627663352,13
sparse_k30,median,0.19067887225109947,0.7342680204764909,0.7922354599287115,0.033954088709551355,0.16895673731188848,0.10376600431688521,-0.3858427549690626,0.24177620627663352,13
sparse_k30,scaleshift,0.2091448855232656,6.085452924236987,0.7548048430506047,0.04351147234885535,0.18475794558594552,0.130892147507257,-0.2915479380757202,0.24177620627663352,13
sparse_k30,median/frame,0.14943347195929885,0.6643670780098094,0.8292397550424822,,0.08748795821973843,0.0876869451222719,0.0022744490394175365,0.24177620627663352,13
sparse_k30,scaleshift/frame,0.13726682727063216,1.4442764861915784,0.8147885614942669,,0.08149009611978322,0.09032025145989438,0.10835863203709573,0.24177620627663352,13
dense_carry,none,0.21024874548032493,0.902724800182988,0.7156445357978098,0.027749295767564512,0.1587722216951214,0.14634244114256326,-0.07828687172008042,1.0,13
dense_carry,median,0.17681773763168648,0.7010060074802607,0.8194900128133639,0.029107382973293704,0.16497404494927545,0.09254260078361694,-0.4390475131280742,1.0,13
dense_carry,scaleshift,0.1822364510436341,0.8223718182653127,0.7752262084891244,0.02937842559695,0.18484805163163603,0.12578306986906312,-0.31953261741853367,1.0,13
dense_carry,median/frame,0.13567259688957528,0.6287018632988974,0.8572466465933242,,0.08226951067257364,0.07376411058742854,-0.10338459552769119,1.0,13
dense_carry,scaleshift/frame,0.12409392734950692,0.6728618238159934,0.8481238749276077,,0.07814740058982708,0.07350674410388311,-0.05938337617013556,1.0,13
dense_reset,none,0.20971832430113307,0.892515661693845,0.7261305023891289,0.031716073150000024,0.15796083004721045,0.14039591692338527,-0.11119790342058522,1.0,13
dense_reset,median,0.17685370411580947,0.696700580873751,0.827108247735576,0.03328798807324297,0.15843436020511897,0.09052844041778052,-0.4286060151309553,1.0,13
dense_reset,scaleshift,0.1823242227176895,0.8373380243808455,0.7847070488615651,0.03307643737172552,0.18457262203112026,0.12372950921481732,-0.32964321656569606,1.0,13
dense_reset,median/frame,0.13802164799663502,0.629548861717855,0.8596026569656473,,0.08299646877701931,0.07024885725899874,-0.1535922154985735,1.0,13
dense_reset,scaleshift/frame,0.1241719735464091,0.6318909371964716,0.8462364238181732,,0.07675548130931714,0.0692983874332676,-0.09715389375252792,1.0,13
sparse_k5,none,0.20712953539136947,0.8818954468085152,0.708704353197138,0.035471058986560514,0.1572944034032332,0.14970254731311658,-0.04826526517065233,0.4133585149591619,13
sparse_k5,median,0.17465990939802511,0.6797044177741058,0.8171190685327432,0.03768577606023005,0.16436649026292374,0.09612218104699717,-0.41519599954200936,0.4133585149591619,13
sparse_k5,scaleshift,0.18474731839899572,3.8328233784230332,0.7816659797242469,0.044063389444759585,0.18201181361682642,0.12617359212806079,-0.3067835014617071,0.4133585149591619,13
sparse_k5,median/frame,0.1336808879467175,0.6090529168644185,0.854793267158156,,0.0836807987203455,0.07486617415452283,-0.10533628622834301,0.4133585149591619,13
sparse_k5,scaleshift/frame,0.12244738893752491,0.6781229448439776,0.8494985410728989,,0.07850386339677164,0.07576280233945899,-0.034916256840238136,0.4133585149591619,13
sparse_k10,none,0.21091886474958074,0.8945176054171713,0.7016495760964343,0.033091926264467456,0.16030104129668346,0.15178947264138964,-0.053097400905466996,0.31280621615323156,13
sparse_k10,median,0.17962065896234172,0.6976437175841247,0.8104708608849215,0.03508274571687256,0.16785810050954753,0.09851393144407884,-0.4131118418173956,0.31280621615323156,13
sparse_k10,scaleshift,0.18633473872054482,3.4910421853925038,0.7766776068556758,0.04004390334166069,0.18422768559095665,0.12353367476377203,-0.3294510845777241,0.31280621615323156,13
sparse_k10,median/frame,0.13837837870127814,0.6260477815918271,0.8480917874326193,,0.08748795821973843,0.07740419197899938,-0.11525890472163314,0.31280621615323156,13
sparse_k10,scaleshift/frame,0.12606713913658005,0.7035112305170568,0.8407090173454694,,0.08149009611978322,0.07894415764783903,-0.031242305423249017,0.31280621615323156,13
sparse_k60,none,0.22654072406234044,0.935177113383564,0.6749449115222437,0.0316232323342122,0.16030104129668346,0.15920809359263177,-0.006818094849607825,0.22442626953125,13
sparse_k60,median,0.20063011405431846,0.7574858687046642,0.7770260006983294,0.03360680017246974,0.174027917709554,0.10636111439849395,-0.38882728818253964,0.22442626953125,13
sparse_k60,scaleshift,0.20388567093879262,4.54248005383367,0.7376085970997932,0.03901189568977201,0.18484158680608756,0.13056811726928574,-0.29362153006043323,0.22442626953125,13
sparse_k60,median/frame,0.15784954550945335,0.6904667014871388,0.8131338753855738,,0.08748795821973843,0.08854381500526791,0.012068595576062657,0.22442626953125,13
sparse_k60,scaleshift/frame,0.14408649616241956,1.5202001743987452,0.8021582582729134,,0.08149009611978322,0.09184948181396425,0.12712447508901747,0.22442626953125,13
delta_sp,none,0.2200160278176131,0.9190573259630739,0.6858024807933953,0.03212603876717635,0.1604336576631073,0.15876443369468013,-0.010404449993481779,0.24177620627663352,13
delta_sp,median,0.19052784055653496,0.7333086281940377,0.7923798960636753,0.03396221526781622,0.16910929186314555,0.10387600352623766,-0.38574632782271356,0.24177620627663352,13
delta_sp,scaleshift,0.2079216091590047,5.88505492232802,0.7549681795098819,0.04405232484161009,0.18498550447222112,0.13106244587263194,-0.29149883258926745,0.24177620627663352,13
delta_sp,median/frame,0.14924100292138942,0.6633632626126996,0.8295102576365072,,0.08746163390637153,0.08775277422082477,0.0033287774473194087,0.24177620627663352,13
delta_sp,scaleshift/frame,0.13707170699049614,1.4035872214941292,0.8152973965874092,,0.08151222787932541,0.09032797956126812,0.10815250559700029,0.24177620627663352,13
drop_sp,none,0.22032543371854132,0.9140934040492882,0.6882961272409962,0.033267384325537344,0.16143395169412325,0.15655332126951166,-0.03023298614320713,0.24177620627663352,13
drop_sp,median,0.19219509127777282,0.7368469864813703,0.7910901989440272,0.035194484910747705,0.17099286250399873,0.10516999021143801,-0.3849451452455884,0.24177620627663352,13
drop_sp,scaleshift,0.231726906565416,8.310220078607912,0.7529257879872555,0.053820586232146694,0.18705408827207012,0.13301014600983804,-0.2889214705835522,0.24177620627663352,13
drop_sp,median/frame,0.15079288624173967,0.6656171804456965,0.8279711220917196,,0.08861138722917923,0.08925524719997689,0.0072661086902117145,0.24177620627663352,13
drop_sp,scaleshift/frame,0.1398192052527289,2.2905345566371826,0.813892418885013,,0.08197043616847319,0.09069840837906139,0.10647707415695185,0.24177620627663352,13
delta_no_sp,none,0.2154616012034467,0.9240521289973089,0.7095969004038016,0.027871223953285125,0.1559855463376597,0.15139657237170495,-0.02941922552247933,0.24177620627663352,13
delta_no_sp,median,0.18131106784903922,0.721532841228046,0.8222141424095052,0.029324841247117817,0.162941336571774,0.09401894123041726,-0.4229890142762952,0.24177620627663352,13
delta_no_sp,scaleshift,0.18630210540365205,0.8665607596646108,0.7768075362992266,0.02878985592028995,0.18916676554034736,0.12741951615972383,-0.32641700673078045,0.24177620627663352,13
delta_no_sp,median/frame,0.14012823250143214,0.6430826863112932,0.8610837938129209,,0.08245241407559707,0.07203103961268088,-0.1263925935917568,0.24177620627663352,13
delta_no_sp,scaleshift/frame,0.12507115375257216,0.652564494146122,0.8421080280100434,,0.0759431573588666,0.07462742920748135,-0.017325170524157052,0.24177620627663352,13
drop_no_sp,none,1.5704331615015497,6.769707600451051,0.3031174906673516,0.5590261451495716,1.3851197634179189,1.5802221694344347,0.1408559831209697,0.24177620627663352,13
drop_no_sp,median,0.9066637695101478,3.700176882693918,0.26654480325235314,0.38667038457665753,0.8125959537524605,0.8551686061350449,0.05239092341770779,0.24177620627663352,13
drop_no_sp,scaleshift,0.3207070462889323,1.358210126308455,0.4540690037019869,0.05109171014921031,0.3434411101630534,0.2504081974476671,-0.2708846144575343,0.24177620627663352,13
drop_no_sp,median/frame,0.6127702561132913,2.6502987729779286,0.34321684751349585,,0.5063396587170116,0.5988599762496334,0.18272382172681145,0.24177620627663352,13
drop_no_sp,scaleshift/frame,0.23449215099927193,1.986551757152754,0.5831499367793089,,0.19024058132578417,0.20532883468717883,0.07931143427046328,0.24177620627663352,13
