model,gauge,absrel,delta1,tce,failed,active_all,linear_conv_gmac_per_frame,ms_per_frame
both_cache_replay,none,0.22011143878194733,0.6858703534811401,0.032124767920498086,0,0.24177620627663352,0.6556634283636363,1.6976134913117373
delta_sp,none,0.2200160278176131,0.6858024807933953,0.03212603876717635,0,0.24177620627663352,0.8035437090909091,1.7009523905673833
drop_sp,none,0.22032543371854132,0.6882961272409962,0.033267384325537344,0,0.24177620627663352,0.8035437090909091,1.7137696396882043
delta_no_sp,none,0.2154616012034467,0.7095969004038016,0.027871223953285125,0,0.24177620627663352,1.395064832,1.8968418333366168
drop_no_sp,none,1.5704331615015497,0.3031174906673516,0.5590261451495716,0,0.24177620627663352,1.395064832,1.9053844929809807
temporal_cache_only,none,0.2246377028111684,0.6972148337756707,0.02795147171527404,0,0.24177620627663352,1.2471845512727273,1.9956007811540784
output_hold,none,0.22327237006374792,0.706617298273764,0.03187108823788976,0,0.24177620627663352,0.9898222778181818,1.3074558922501942
both_cache_replay,median,0.19067887225109947,0.7922354599287115,0.033954088709551355,0,0.24177620627663352,0.6556634283636363,1.6976134913117373
delta_sp,median,0.19052784055653496,0.7923798960636753,0.03396221526781622,0,0.24177620627663352,0.8035437090909091,1.7009523905673833
drop_sp,median,0.19219509127777282,0.7910901989440272,0.035194484910747705,0,0.24177620627663352,0.8035437090909091,1.7137696396882043
delta_no_sp,median,0.18131106784903922,0.8222141424095052,0.029324841247117817,0,0.24177620627663352,1.395064832,1.8968418333366168
drop_no_sp,median,0.9066637695101478,0.26654480325235314,0.38667038457665753,0,0.24177620627663352,1.395064832,1.9053844929809807
temporal_cache_only,median,0.19120992707928436,0.8076953385106338,0.02915268235421472,0,0.24177620627663352,1.2471845512727273,1.9956007811540784
output_hold,median,0.19147565577097106,0.8077917103113044,0.033169787033619225,0,0.24177620627663352,0.9898222778181818,1.3074558922501942
both_cache_replay,scaleshift,0.2091448855232656,0.7548048430506047,0.04351147234885535,2,0.24177620627663352,0.6556634283636363,1.6976134913117373
delta_sp,scaleshift,0.2079216091590047,0.7549681795098819,0.04405232484161009,2,0.24177620627663352,0.8035437090909091,1.7009523905673833
drop_sp,scaleshift,0.231726906565416,0.7529257879872555,0.053820586232146694,3,0.24177620627663352,0.8035437090909091,1.7137696396882043
delta_no_sp,scaleshift,0.18630210540365205,0.7768075362992266,0.02878985592028995,0,0.24177620627663352,1.395064832,1.8968418333366168
drop_no_sp,scaleshift,0.3207070462889323,0.4540690037019869,0.05109171014921031,0,0.24177620627663352,1.395064832,1.9053844929809807
temporal_cache_only,scaleshift,0.19370273494340973,0.7654793753767264,0.027536238495545803,0,0.24177620627663352,1.2471845512727273,1.9956007811540784
output_hold,scaleshift,0.1953090574980179,0.768006367488921,0.031172121795485327,0,0.24177620627663352,0.9898222778181818,1.3074558922501942
