id,model,input,original_resolution_roi,params,absrel,rmse,delta1,tce,failed,catastrophic,mean_ms,p50_ms,p95_ms,repeat_min_ms,repeat_max_ms,peak_allocated_mib,state_mib,frames,repeats,pareto_absrel_latency
1,sparse_k5,256x256,False,4185872,0.15347309415698215,0.6497347468137085,0.7826858749577761,0.03617516269790427,0,0,7.636973569916941,7.812968171492685,8.10751718405906,7.593470428635859,7.67261341493016,63.67822265625,13.5009765625,1024,5,True
2,sparse_k10,256x256,False,4185872,0.15391166213346447,0.6739291677292847,0.7804102659007717,0.0331992842799096,1,0,7.580272240056729,7.9078972509402465,8.104412785905879,7.569820434108957,7.588016897424646,63.67822265625,13.5009765625,1024,5,True
3,sparse_k30,256x256,False,4185872,0.1630095679927173,0.6888888380707526,0.7575670345683532,0.03217764614907964,0,0,7.496391518486689,7.586979578870038,8.097819818309897,7.408342344964089,7.536068247153102,63.67822265625,13.5009765625,1024,5,True
4,sparse_k60,256x256,False,4185872,0.16912551257371178,0.7083504464254149,0.7427984824952372,0.031644320675994216,0,0,8.13832823272757,8.337831828005923,8.77614906639792,8.11949950741564,8.165845621249446,63.67822265625,13.5009765625,1024,5,False
5,dense_carry,256x256,False,4185872,0.16173404990306567,0.6806180664310484,0.7693998908200026,0.028245589245816837,0,0,7.520990652687942,7.530150668268712,7.6121545549540315,7.490952459932032,7.542250543432752,61.42626953125,12.0,1024,5,True
6,dense_reset,256x256,False,4185872,0.16836105463158926,0.7083510013903764,0.7713618141453006,0.030741663606196998,0,0,7.519552269085731,7.53587933286326,7.614582670794334,7.496570445463627,7.542467588355825,49.42626953125,0.0,1024,5,False
7,output_hold,256x256,False,4185872,0.1768579425212446,0.7413527885185014,0.7611052472203825,0.03036288594061877,0,0,7.126123304309809,7.314560161224412,7.736280631070258,7.049903501865629,7.149022616014614,51.17919921875,1.0009765625,1024,5,True
8,gmc_k30,256x256,False,4185872,0.17148727157352617,3.990954298205338,0.7726017400917626,0.04075989080648056,1,0,8.55541319092481,8.584811837257195,8.848462400055723,8.495518955101033,8.59753493294117,63.86865234375,13.5009765625,1024,5,False
9,da2_196,196x196,True,24785089,0.18246756946191794,0.8516227905466366,0.7336226426750997,0.0588633114624557,0,0,9.255100093829089,9.25289800943574,9.331396435785184,9.23636298936496,9.269698279429878,117.81884765625,0.0,1024,5,False
10,da2_256,252x252,False,24785089,0.17510374182218108,0.7906417551631905,0.7663020117534507,0.04672873298950839,0,0,9.602388529329648,9.62988517130725,9.708464505092707,9.551888953694743,9.626558980793714,128.61474609375,0.0,1024,5,False
11,da2_350,350x350,True,24785089,0.17575549292668757,1.0648459313519318,0.7782048048050265,0.04397719466937111,1,0,12.941228130421223,12.959082492064528,13.102497583895456,12.845894585476952,12.972239028461747,151.32373046875,0.0,1024,5,False
12,da2_518,518x518,True,24785089,0.1810842343066453,1.46463741339363,0.7798587558490111,0.04224943840287574,1,0,14.465263144374301,14.481399996536009,14.582890800860088,14.410930425526658,14.493513246350176,209.85107421875,0.0,1024,5,False
13,midas_192,192x192,True,21320545,0.16517221445101465,0.8359910758379225,0.7739682160919272,0.053641807786549346,0,0,9.877817523749854,9.924032422228873,10.083749180436524,9.843892858593033,9.897718331444594,154.56201171875,0.0,1024,5,False
14,midas_256,256x256,False,21320545,0.1636699687458587,0.7637138037033862,0.7758085598044446,0.045876012726529414,0,0,9.43939098728303,9.476991413976066,9.589754960325081,9.352450743885282,9.495776912028003,156.75244140625,0.0,1024,5,False
15,midas_384,384x384,True,21320545,0.1939648143579939,0.8573434369265811,0.7160710275547255,0.0477935783350638,0,0,11.600617955768183,11.522387918375898,11.949573545522679,11.502955291405215,11.692770202804088,160.60791015625,0.0,1024,5,False
