scope,model,gauge,aggregation,absrel,rmse,delta1,tce,failed,catastrophic,n
L256_all_13,sparse_k5,none,balanced,0.20712953539136947,0.8818954468085152,0.708704353197138,0.035471058986560514,0,0,13
L256_all_13,sparse_k5,none,equal_sequence,0.19638460809258074,0.7214344115137075,0.7147156917195265,0.03209418640428642,0,0,13
L256_all_13,sparse_k5,median,balanced,0.17465990939802511,0.6797044177741058,0.8171190685327432,0.03768577606023005,0,0,13
L256_all_13,sparse_k5,median,equal_sequence,0.16693220405823342,0.5567189328458833,0.8259087516481247,0.03390256601418342,0,0,13
L256_all_13,sparse_k5,scaleshift,balanced,0.18474731839899572,3.8328233784230332,0.7816659797242469,0.044063389444759585,2,0,13
L256_all_13,sparse_k5,scaleshift,equal_sequence,0.16972383272559805,2.7976258615100966,0.7980875395538675,0.041083672463540784,2,0,13
L256_all_13,sparse_k10,none,balanced,0.21091886474958074,0.8945176054171713,0.7016495760964343,0.033091926264467456,0,0,13
L256_all_13,sparse_k10,none,equal_sequence,0.2005508123650411,0.7385506279704546,0.7052693413257372,0.03028978927522271,0,0,13
L256_all_13,sparse_k10,median,balanced,0.17962065896234172,0.6976437175841247,0.8104708608849215,0.03508274571687256,0,0,13
L256_all_13,sparse_k10,median,equal_sequence,0.17190698742318647,0.5758726234398228,0.8170167383780725,0.031942262497134014,0,0,13
L256_all_13,sparse_k10,scaleshift,balanced,0.18633473872054482,3.4910421853925038,0.7766776068556758,0.04004390334166069,3,0,13
L256_all_13,sparse_k10,scaleshift,equal_sequence,0.171892086936974,2.5711826883715156,0.7911019121090404,0.037702734408570956,3,0,13
L256_all_13,sparse_k30,none,balanced,0.22011143878194733,0.9197634688644952,0.6858703534811401,0.032124767920498086,0,0,13
L256_all_13,sparse_k30,none,equal_sequence,0.21156499195892076,0.772511522054657,0.6874809946881731,0.029448581163080932,0,0,13
L256_all_13,sparse_k30,median,balanced,0.19067887225109947,0.7342680204764909,0.7922354599287115,0.033954088709551355,0,0,13
L256_all_13,sparse_k30,median,equal_sequence,0.18415260957921256,0.6154556310412064,0.7963817754394071,0.03096588451420441,0,0,13
L256_all_13,sparse_k30,scaleshift,balanced,0.2091448855232656,6.085452924236987,0.7548048430506047,0.04351147234885535,2,0,13
