/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
step 1 loss 1.6392 lr 2.50e-07 median 3.33 m elapsed 0s
step 50 loss 2.5553 lr 1.25e-05 median 3.30 m elapsed 1s
step 100 loss 0.6836 lr 2.50e-05 median 3.17 m elapsed 2s
step 150 loss 0.3351 lr 3.75e-05 median 2.78 m elapsed 2s
step 200 loss 0.5002 lr 5.00e-05 median 2.19 m elapsed 3s
step 250 loss 0.0568 lr 6.25e-05 median 2.32 m elapsed 4s
step 300 loss 0.0474 lr 7.50e-05 median 2.16 m elapsed 4s
step 350 loss 0.0533 lr 8.75e-05 median 2.19 m elapsed 5s
step 400 loss 0.0167 lr 1.00e-04 median 2.90 m elapsed 6s
step 450 loss 0.0704 lr 1.12e-04 median 1.69 m elapsed 6s
step 500 loss 0.0187 lr 1.25e-04 median 1.83 m elapsed 7s
step 550 loss 0.0148 lr 1.38e-04 median 2.96 m elapsed 8s
step 600 loss 0.0137 lr 1.50e-04 median 1.88 m elapsed 8s
step 650 loss 0.0126 lr 1.62e-04 median 2.26 m elapsed 9s
step 700 loss 0.0130 lr 1.75e-04 median 2.75 m elapsed 9s
step 750 loss 0.0124 lr 1.88e-04 median 3.02 m elapsed 10s
step 800 loss 0.0162 lr 2.00e-04 median 2.43 m elapsed 11s
step 850 loss 0.0135 lr 2.12e-04 median 1.86 m elapsed 11s
step 900 loss 0.0153 lr 2.25e-04 median 2.96 m elapsed 12s
step 950 loss 0.0925 lr 2.38e-04 median 1.64 m elapsed 13s
step 1000 loss 0.2134 lr 2.50e-04 median 2.52 m elapsed 13s
step 1050 loss 0.0142 lr 2.63e-04 median 2.94 m elapsed 14s
step 1100 loss 0.0117 lr 2.75e-04 median 1.75 m elapsed 15s
step 1150 loss 0.0123 lr 2.88e-04 median 2.83 m elapsed 15s
step 1200 loss 0.0172 lr 3.00e-04 median 2.52 m elapsed 16s
step 1250 loss 0.0279 lr 3.13e-04 median 2.00 m elapsed 16s
step 1300 loss 0.0545 lr 3.25e-04 median 1.99 m elapsed 17s
step 1350 loss 0.0092 lr 3.38e-04 median 1.64 m elapsed 18s
step 1400 loss 0.0171 lr 3.50e-04 median 2.55 m elapsed 18s
step 1450 loss 0.0381 lr 3.62e-04 median 2.67 m elapsed 19s
step 1500 loss 0.0245 lr 3.75e-04 median 1.72 m elapsed 20s
step 1550 loss 0.0095 lr 3.87e-04 median 1.77 m elapsed 20s
step 1600 loss 0.0245 lr 4.00e-04 median 2.35 m elapsed 21s
step 1650 loss 0.0113 lr 4.13e-04 median 1.77 m elapsed 22s
step 1700 loss 0.0930 lr 4.25e-04 median 1.91 m elapsed 22s
step 1750 loss 0.0207 lr 4.38e-04 median 2.64 m elapsed 23s
step 1800 loss 0.0203 lr 4.50e-04 median 2.95 m elapsed 24s
step 1850 loss 0.0158 lr 4.63e-04 median 1.87 m elapsed 24s
step 1900 loss 0.0090 lr 4.75e-04 median 2.51 m elapsed 25s
step 1950 loss 0.0126 lr 4.87e-04 median 2.75 m elapsed 25s
step 2000 loss 0.0129 lr 5.00e-04 median 3.01 m elapsed 26s
step 2050 loss 0.0280 lr 5.12e-04 median 2.03 m elapsed 27s
step 2100 loss 0.0212 lr 5.25e-04 median 2.28 m elapsed 27s
step 2150 loss 0.0802 lr 5.38e-04 median 1.93 m elapsed 28s
step 2200 loss 0.0209 lr 5.50e-04 median 2.87 m elapsed 29s
step 2250 loss 0.0183 lr 5.62e-04 median 2.91 m elapsed 29s
step 2300 loss 0.0133 lr 5.75e-04 median 2.30 m elapsed 30s
step 2350 loss 0.0153 lr 5.88e-04 median 3.01 m elapsed 31s
step 2400 loss 0.0128 lr 6.00e-04 median 2.98 m elapsed 31s
step 2450 loss 0.0233 lr 6.13e-04 median 2.56 m elapsed 32s
step 2500 loss 0.0375 lr 6.25e-04 median 1.43 m elapsed 32s
step 2550 loss 0.0298 lr 6.38e-04 median 2.54 m elapsed 33s
step 2600 loss 0.0461 lr 6.50e-04 median 2.84 m elapsed 34s
step 2650 loss 0.0131 lr 6.63e-04 median 2.94 m elapsed 34s
step 2700 loss 0.0111 lr 6.75e-04 median 1.83 m elapsed 35s
step 2750 loss 0.0257 lr 6.87e-04 median 2.18 m elapsed 36s
step 2800 loss 0.0136 lr 7.00e-04 median 2.04 m elapsed 36s
step 2850 loss 0.0231 lr 7.13e-04 median 2.39 m elapsed 37s
step 2900 loss 0.0136 lr 7.25e-04 median 2.43 m elapsed 38s
step 2950 loss 0.0167 lr 7.38e-04 median 2.86 m elapsed 38s
step 3000 loss 0.0172 lr 7.50e-04 median 2.84 m elapsed 39s
step 3050 loss 0.0360 lr 7.63e-04 median 1.94 m elapsed 40s
step 3100 loss 0.0143 lr 7.75e-04 median 1.48 m elapsed 40s
step 3150 loss 0.0243 lr 7.88e-04 median 2.77 m elapsed 41s
step 3200 loss 0.0147 lr 8.00e-04 median 2.83 m elapsed 41s
step 3250 loss 0.0067 lr 8.12e-04 median 2.77 m elapsed 42s
step 3300 loss 0.0146 lr 8.25e-04 median 2.65 m elapsed 43s
step 3350 loss 0.0094 lr 8.38e-04 median 1.88 m elapsed 43s
step 3400 loss 0.0359 lr 8.50e-04 median 2.79 m elapsed 44s
step 3450 loss 0.0130 lr 8.63e-04 median 2.96 m elapsed 45s
step 3500 loss 0.0359 lr 8.75e-04 median 2.92 m elapsed 45s
step 3550 loss 0.1435 lr 8.88e-04 median 3.06 m elapsed 46s
step 3600 loss 0.0779 lr 9.00e-04 median 1.53 m elapsed 46s
step 3650 loss 0.0269 lr 9.13e-04 median 1.84 m elapsed 47s
step 3700 loss 0.0229 lr 9.25e-04 median 2.61 m elapsed 48s
step 3750 loss 0.0806 lr 9.37e-04 median 1.08 m elapsed 48s
step 3800 loss 0.0124 lr 9.50e-04 median 2.84 m elapsed 49s
step 3850 loss 0.0116 lr 9.63e-04 median 2.68 m elapsed 50s
step 3900 loss 0.0091 lr 9.75e-04 median 2.82 m elapsed 50s
step 3950 loss 0.0240 lr 9.88e-04 median 2.45 m elapsed 51s
step 4000 loss 0.0154 lr 1.00e-03 median 2.66 m elapsed 52s
CALIB_DONE mambavision_da2_mr_ft 4000
