/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
step 1 loss 2.0511 lr 2.50e-07 median 3.33 m elapsed 1s
step 50 loss 2.4076 lr 1.25e-05 median 3.31 m elapsed 1s
step 100 loss 1.3216 lr 2.50e-05 median 3.20 m elapsed 2s
step 150 loss 1.1686 lr 3.75e-05 median 2.80 m elapsed 3s
step 200 loss 0.4984 lr 5.00e-05 median 2.29 m elapsed 3s
step 250 loss 0.0744 lr 6.25e-05 median 2.23 m elapsed 4s
step 300 loss 0.0429 lr 7.50e-05 median 2.03 m elapsed 4s
step 350 loss 0.0479 lr 8.75e-05 median 2.14 m elapsed 5s
step 400 loss 0.0227 lr 1.00e-04 median 2.77 m elapsed 6s
step 450 loss 0.0648 lr 1.12e-04 median 1.70 m elapsed 6s
step 500 loss 0.0185 lr 1.25e-04 median 1.88 m elapsed 7s
step 550 loss 0.0107 lr 1.38e-04 median 2.91 m elapsed 8s
step 600 loss 0.0172 lr 1.50e-04 median 1.98 m elapsed 8s
step 650 loss 0.0138 lr 1.62e-04 median 2.22 m elapsed 9s
step 700 loss 0.0117 lr 1.75e-04 median 2.70 m elapsed 10s
step 750 loss 0.0098 lr 1.88e-04 median 2.95 m elapsed 10s
step 800 loss 0.0151 lr 2.00e-04 median 2.48 m elapsed 11s
step 850 loss 0.0177 lr 2.12e-04 median 1.93 m elapsed 12s
step 900 loss 0.0120 lr 2.25e-04 median 2.84 m elapsed 12s
step 950 loss 0.1154 lr 2.38e-04 median 1.70 m elapsed 13s
step 1000 loss 0.1800 lr 2.50e-04 median 2.53 m elapsed 14s
step 1050 loss 0.0091 lr 2.63e-04 median 2.83 m elapsed 14s
step 1100 loss 0.0115 lr 2.75e-04 median 1.74 m elapsed 15s
step 1150 loss 0.0100 lr 2.88e-04 median 2.79 m elapsed 15s
step 1200 loss 0.0273 lr 3.00e-04 median 2.37 m elapsed 16s
step 1250 loss 0.0314 lr 3.13e-04 median 2.02 m elapsed 17s
step 1300 loss 0.0571 lr 3.25e-04 median 1.99 m elapsed 17s
step 1350 loss 0.0111 lr 3.38e-04 median 1.64 m elapsed 18s
step 1400 loss 0.0139 lr 3.50e-04 median 2.58 m elapsed 19s
step 1450 loss 0.0362 lr 3.62e-04 median 2.61 m elapsed 19s
step 1500 loss 0.0224 lr 3.75e-04 median 1.83 m elapsed 20s
step 1550 loss 0.0096 lr 3.87e-04 median 1.70 m elapsed 21s
step 1600 loss 0.0184 lr 4.00e-04 median 2.29 m elapsed 21s
step 1650 loss 0.0162 lr 4.13e-04 median 1.71 m elapsed 22s
step 1700 loss 0.0683 lr 4.25e-04 median 1.84 m elapsed 23s
step 1750 loss 0.0168 lr 4.38e-04 median 2.55 m elapsed 23s
step 1800 loss 0.0221 lr 4.50e-04 median 3.16 m elapsed 24s
step 1850 loss 0.0264 lr 4.63e-04 median 1.96 m elapsed 25s
step 1900 loss 0.0079 lr 4.75e-04 median 2.54 m elapsed 25s
step 1950 loss 0.0109 lr 4.87e-04 median 2.65 m elapsed 26s
step 2000 loss 0.0104 lr 5.00e-04 median 2.98 m elapsed 27s
step 2050 loss 0.0217 lr 5.12e-04 median 1.91 m elapsed 27s
step 2100 loss 0.0215 lr 5.25e-04 median 2.23 m elapsed 28s
step 2150 loss 0.0656 lr 5.38e-04 median 1.88 m elapsed 28s
step 2200 loss 0.0275 lr 5.50e-04 median 2.92 m elapsed 29s
step 2250 loss 0.0147 lr 5.62e-04 median 2.79 m elapsed 30s
step 2300 loss 0.0125 lr 5.75e-04 median 2.35 m elapsed 30s
step 2350 loss 0.0158 lr 5.88e-04 median 3.02 m elapsed 31s
step 2400 loss 0.0119 lr 6.00e-04 median 2.87 m elapsed 32s
step 2450 loss 0.0129 lr 6.13e-04 median 2.47 m elapsed 32s
step 2500 loss 0.0590 lr 6.25e-04 median 1.35 m elapsed 33s
step 2550 loss 0.0295 lr 6.38e-04 median 2.60 m elapsed 34s
step 2600 loss 0.0340 lr 6.50e-04 median 2.78 m elapsed 34s
step 2650 loss 0.0100 lr 6.63e-04 median 2.83 m elapsed 35s
step 2700 loss 0.0082 lr 6.75e-04 median 1.70 m elapsed 36s
step 2750 loss 0.0187 lr 6.87e-04 median 2.39 m elapsed 36s
step 2800 loss 0.0145 lr 7.00e-04 median 2.10 m elapsed 37s
step 2850 loss 0.0244 lr 7.13e-04 median 2.52 m elapsed 37s
step 2900 loss 0.0069 lr 7.25e-04 median 2.34 m elapsed 38s
step 2950 loss 0.0262 lr 7.38e-04 median 2.82 m elapsed 39s
step 3000 loss 0.0276 lr 7.50e-04 median 2.91 m elapsed 39s
step 3050 loss 0.0540 lr 7.63e-04 median 1.81 m elapsed 40s
step 3100 loss 0.0150 lr 7.75e-04 median 1.50 m elapsed 41s
step 3150 loss 0.0244 lr 7.88e-04 median 2.74 m elapsed 41s
step 3200 loss 0.0215 lr 8.00e-04 median 2.83 m elapsed 42s
step 3250 loss 0.0090 lr 8.12e-04 median 2.66 m elapsed 43s
step 3300 loss 0.0115 lr 8.25e-04 median 2.67 m elapsed 43s
step 3350 loss 0.0081 lr 8.38e-04 median 1.83 m elapsed 44s
step 3400 loss 0.0350 lr 8.50e-04 median 2.81 m elapsed 45s
step 3450 loss 0.0117 lr 8.63e-04 median 2.95 m elapsed 45s
step 3500 loss 0.0320 lr 8.75e-04 median 2.91 m elapsed 46s
step 3550 loss 0.1205 lr 8.88e-04 median 3.06 m elapsed 47s
step 3600 loss 0.0543 lr 9.00e-04 median 1.43 m elapsed 47s
step 3650 loss 0.0247 lr 9.13e-04 median 2.00 m elapsed 48s
step 3700 loss 0.0210 lr 9.25e-04 median 2.64 m elapsed 48s
step 3750 loss 0.0457 lr 9.37e-04 median 1.19 m elapsed 49s
step 3800 loss 0.0099 lr 9.50e-04 median 2.88 m elapsed 50s
step 3850 loss 0.0093 lr 9.63e-04 median 2.81 m elapsed 50s
step 3900 loss 0.0074 lr 9.75e-04 median 2.92 m elapsed 51s
step 3950 loss 0.0325 lr 9.88e-04 median 2.04 m elapsed 52s
step 4000 loss 0.0122 lr 1.00e-03 median 2.71 m elapsed 52s
CALIB_DONE mambavision_da2_mr 4000
