/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
step 1 loss 1.4890 lr 2.50e-07 median 3.33 m elapsed 1s
step 50 loss 2.9184 lr 1.25e-05 median 3.30 m elapsed 3s
step 100 loss 0.9122 lr 2.50e-05 median 3.17 m elapsed 6s
step 150 loss 0.2852 lr 3.75e-05 median 2.74 m elapsed 9s
step 200 loss 0.5033 lr 5.00e-05 median 2.19 m elapsed 11s
step 250 loss 0.0560 lr 6.25e-05 median 2.36 m elapsed 14s
step 300 loss 0.0348 lr 7.50e-05 median 2.21 m elapsed 17s
step 350 loss 0.0454 lr 8.75e-05 median 2.24 m elapsed 20s
step 400 loss 0.0160 lr 1.00e-04 median 2.88 m elapsed 22s
step 450 loss 0.0511 lr 1.12e-04 median 1.66 m elapsed 25s
step 500 loss 0.0223 lr 1.25e-04 median 1.89 m elapsed 28s
step 550 loss 0.0149 lr 1.38e-04 median 3.00 m elapsed 31s
step 600 loss 0.0125 lr 1.50e-04 median 1.88 m elapsed 33s
step 650 loss 0.0103 lr 1.62e-04 median 2.32 m elapsed 36s
step 700 loss 0.0133 lr 1.75e-04 median 2.81 m elapsed 39s
step 750 loss 0.0119 lr 1.88e-04 median 2.99 m elapsed 42s
step 800 loss 0.0167 lr 2.00e-04 median 2.48 m elapsed 44s
step 850 loss 0.0110 lr 2.12e-04 median 1.79 m elapsed 47s
step 900 loss 0.0150 lr 2.25e-04 median 2.93 m elapsed 50s
step 950 loss 0.0947 lr 2.38e-04 median 1.71 m elapsed 53s
step 1000 loss 0.1790 lr 2.50e-04 median 2.63 m elapsed 55s
step 1050 loss 0.0088 lr 2.63e-04 median 2.75 m elapsed 58s
step 1100 loss 0.0086 lr 2.75e-04 median 1.71 m elapsed 61s
step 1150 loss 0.0112 lr 2.88e-04 median 2.78 m elapsed 63s
step 1200 loss 0.0153 lr 3.00e-04 median 2.67 m elapsed 66s
step 1250 loss 0.0300 lr 3.13e-04 median 1.99 m elapsed 69s
step 1300 loss 0.0584 lr 3.25e-04 median 2.01 m elapsed 72s
step 1350 loss 0.0108 lr 3.38e-04 median 1.73 m elapsed 74s
step 1400 loss 0.0243 lr 3.50e-04 median 2.47 m elapsed 77s
step 1450 loss 0.0308 lr 3.62e-04 median 2.70 m elapsed 80s
step 1500 loss 0.0243 lr 3.75e-04 median 1.78 m elapsed 83s
step 1550 loss 0.0073 lr 3.87e-04 median 1.81 m elapsed 85s
step 1600 loss 0.0139 lr 4.00e-04 median 2.18 m elapsed 88s
step 1650 loss 0.0182 lr 4.13e-04 median 1.68 m elapsed 91s
step 1700 loss 0.0804 lr 4.25e-04 median 1.93 m elapsed 94s
step 1750 loss 0.0195 lr 4.38e-04 median 2.76 m elapsed 96s
step 1800 loss 0.0191 lr 4.50e-04 median 3.17 m elapsed 99s
step 1850 loss 0.0215 lr 4.63e-04 median 1.81 m elapsed 102s
step 1900 loss 0.0104 lr 4.75e-04 median 2.46 m elapsed 105s
step 1950 loss 0.0112 lr 4.87e-04 median 2.78 m elapsed 107s
step 2000 loss 0.0101 lr 5.00e-04 median 2.91 m elapsed 110s
step 2050 loss 0.0364 lr 5.12e-04 median 2.18 m elapsed 113s
step 2100 loss 0.0202 lr 5.25e-04 median 2.24 m elapsed 116s
step 2150 loss 0.0645 lr 5.38e-04 median 1.94 m elapsed 118s
step 2200 loss 0.0243 lr 5.50e-04 median 2.62 m elapsed 121s
step 2250 loss 0.0158 lr 5.62e-04 median 2.82 m elapsed 124s
step 2300 loss 0.0095 lr 5.75e-04 median 2.35 m elapsed 126s
step 2350 loss 0.0148 lr 5.88e-04 median 3.06 m elapsed 129s
step 2400 loss 0.0122 lr 6.00e-04 median 3.02 m elapsed 132s
step 2450 loss 0.0184 lr 6.13e-04 median 2.57 m elapsed 135s
step 2500 loss 0.0504 lr 6.25e-04 median 1.38 m elapsed 137s
step 2550 loss 0.0188 lr 6.38e-04 median 2.79 m elapsed 140s
step 2600 loss 0.0260 lr 6.50e-04 median 2.60 m elapsed 143s
step 2650 loss 0.0090 lr 6.63e-04 median 2.88 m elapsed 146s
step 2700 loss 0.0069 lr 6.75e-04 median 1.77 m elapsed 148s
step 2750 loss 0.0169 lr 6.87e-04 median 2.30 m elapsed 151s
step 2800 loss 0.0121 lr 7.00e-04 median 2.08 m elapsed 154s
step 2850 loss 0.0191 lr 7.13e-04 median 2.39 m elapsed 157s
step 2900 loss 0.0136 lr 7.25e-04 median 2.45 m elapsed 159s
step 2950 loss 0.0144 lr 7.38e-04 median 2.88 m elapsed 162s
step 3000 loss 0.0180 lr 7.50e-04 median 2.99 m elapsed 165s
step 3050 loss 0.0366 lr 7.63e-04 median 1.86 m elapsed 168s
step 3100 loss 0.0133 lr 7.75e-04 median 1.42 m elapsed 170s
step 3150 loss 0.0221 lr 7.88e-04 median 2.74 m elapsed 173s
step 3200 loss 0.0141 lr 8.00e-04 median 2.84 m elapsed 176s
step 3250 loss 0.0103 lr 8.12e-04 median 2.66 m elapsed 178s
step 3300 loss 0.0110 lr 8.25e-04 median 2.73 m elapsed 181s
step 3350 loss 0.0097 lr 8.38e-04 median 1.79 m elapsed 184s
step 3400 loss 0.0230 lr 8.50e-04 median 2.92 m elapsed 187s
step 3450 loss 0.0129 lr 8.63e-04 median 2.95 m elapsed 189s
step 3500 loss 0.0268 lr 8.75e-04 median 2.91 m elapsed 192s
step 3550 loss 0.1558 lr 8.88e-04 median 3.14 m elapsed 195s
step 3600 loss 0.0572 lr 9.00e-04 median 1.51 m elapsed 198s
step 3650 loss 0.0214 lr 9.13e-04 median 1.85 m elapsed 200s
step 3700 loss 0.0173 lr 9.25e-04 median 2.72 m elapsed 203s
step 3750 loss 0.0662 lr 9.37e-04 median 1.09 m elapsed 206s
step 3800 loss 0.0110 lr 9.50e-04 median 2.83 m elapsed 209s
step 3850 loss 0.0107 lr 9.63e-04 median 2.60 m elapsed 211s
step 3900 loss 0.0067 lr 9.75e-04 median 2.91 m elapsed 214s
step 3950 loss 0.0534 lr 9.88e-04 median 1.95 m elapsed 217s
step 4000 loss 0.0148 lr 1.00e-03 median 2.59 m elapsed 220s
CALIB_DONE mambavision_da2_hr_ft 4000
