/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/registry.py:4: FutureWarning: Importing from timm.models.registry is deprecated, please import via timm.models
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.models", FutureWarning)
/home/hyunsu/miniforge3/envs/mambavision/lib/python3.13/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
step 1 loss 1.5106 lr 2.50e-07 median 3.33 m elapsed 0s
step 50 loss 2.7812 lr 1.25e-05 median 3.31 m elapsed 2s
step 100 loss 0.9015 lr 2.50e-05 median 3.19 m elapsed 4s
step 150 loss 0.2876 lr 3.75e-05 median 2.78 m elapsed 5s
step 200 loss 0.5029 lr 5.00e-05 median 2.20 m elapsed 7s
step 250 loss 0.0571 lr 6.25e-05 median 2.32 m elapsed 8s
step 300 loss 0.0390 lr 7.50e-05 median 2.20 m elapsed 10s
step 350 loss 0.0427 lr 8.75e-05 median 2.27 m elapsed 11s
step 400 loss 0.0121 lr 1.00e-04 median 2.93 m elapsed 13s
step 450 loss 0.0481 lr 1.12e-04 median 1.65 m elapsed 14s
step 500 loss 0.0222 lr 1.25e-04 median 1.89 m elapsed 16s
step 550 loss 0.0118 lr 1.38e-04 median 2.98 m elapsed 17s
step 600 loss 0.0119 lr 1.50e-04 median 1.90 m elapsed 19s
step 650 loss 0.0114 lr 1.62e-04 median 2.29 m elapsed 20s
step 700 loss 0.0115 lr 1.75e-04 median 2.80 m elapsed 22s
step 750 loss 0.0107 lr 1.88e-04 median 3.06 m elapsed 23s
step 800 loss 0.0175 lr 2.00e-04 median 2.52 m elapsed 25s
step 850 loss 0.0104 lr 2.12e-04 median 1.80 m elapsed 27s
step 900 loss 0.0122 lr 2.25e-04 median 2.95 m elapsed 28s
step 950 loss 0.0922 lr 2.38e-04 median 1.68 m elapsed 30s
step 1000 loss 0.1969 lr 2.50e-04 median 2.50 m elapsed 31s
step 1050 loss 0.0084 lr 2.63e-04 median 2.74 m elapsed 33s
step 1100 loss 0.0086 lr 2.75e-04 median 1.70 m elapsed 34s
step 1150 loss 0.0091 lr 2.88e-04 median 2.85 m elapsed 36s
step 1200 loss 0.0142 lr 3.00e-04 median 2.60 m elapsed 37s
step 1250 loss 0.0267 lr 3.13e-04 median 1.95 m elapsed 39s
step 1300 loss 0.0527 lr 3.25e-04 median 1.99 m elapsed 40s
step 1350 loss 0.0104 lr 3.38e-04 median 1.69 m elapsed 42s
step 1400 loss 0.0172 lr 3.50e-04 median 2.57 m elapsed 43s
step 1450 loss 0.0278 lr 3.62e-04 median 2.76 m elapsed 45s
step 1500 loss 0.0187 lr 3.75e-04 median 1.80 m elapsed 47s
step 1550 loss 0.0069 lr 3.87e-04 median 1.79 m elapsed 48s
step 1600 loss 0.0105 lr 4.00e-04 median 2.13 m elapsed 50s
step 1650 loss 0.0183 lr 4.13e-04 median 1.72 m elapsed 51s
step 1700 loss 0.0793 lr 4.25e-04 median 1.92 m elapsed 53s
step 1750 loss 0.0164 lr 4.38e-04 median 2.76 m elapsed 54s
step 1800 loss 0.0130 lr 4.50e-04 median 3.03 m elapsed 56s
step 1850 loss 0.0208 lr 4.63e-04 median 1.85 m elapsed 57s
step 1900 loss 0.0079 lr 4.75e-04 median 2.48 m elapsed 59s
step 1950 loss 0.0089 lr 4.87e-04 median 2.76 m elapsed 60s
step 2000 loss 0.0078 lr 5.00e-04 median 2.99 m elapsed 62s
step 2050 loss 0.0349 lr 5.12e-04 median 2.17 m elapsed 63s
step 2100 loss 0.0190 lr 5.25e-04 median 2.23 m elapsed 65s
step 2150 loss 0.0414 lr 5.38e-04 median 1.98 m elapsed 67s
step 2200 loss 0.0174 lr 5.50e-04 median 2.86 m elapsed 68s
step 2250 loss 0.0117 lr 5.62e-04 median 2.79 m elapsed 70s
step 2300 loss 0.0078 lr 5.75e-04 median 2.37 m elapsed 71s
step 2350 loss 0.0135 lr 5.88e-04 median 3.02 m elapsed 73s
step 2400 loss 0.0093 lr 6.00e-04 median 2.99 m elapsed 74s
step 2450 loss 0.0181 lr 6.13e-04 median 2.59 m elapsed 76s
step 2500 loss 0.0510 lr 6.25e-04 median 1.36 m elapsed 77s
step 2550 loss 0.0177 lr 6.38e-04 median 2.73 m elapsed 79s
step 2600 loss 0.0398 lr 6.50e-04 median 2.78 m elapsed 80s
step 2650 loss 0.0092 lr 6.63e-04 median 2.87 m elapsed 82s
step 2700 loss 0.0079 lr 6.75e-04 median 1.73 m elapsed 83s
step 2750 loss 0.0153 lr 6.87e-04 median 2.28 m elapsed 85s
step 2800 loss 0.0149 lr 7.00e-04 median 2.01 m elapsed 87s
step 2850 loss 0.0257 lr 7.13e-04 median 2.36 m elapsed 88s
step 2900 loss 0.0075 lr 7.25e-04 median 2.34 m elapsed 90s
step 2950 loss 0.0126 lr 7.38e-04 median 2.86 m elapsed 91s
step 3000 loss 0.0093 lr 7.50e-04 median 2.94 m elapsed 93s
step 3050 loss 0.0375 lr 7.63e-04 median 1.86 m elapsed 94s
step 3100 loss 0.0125 lr 7.75e-04 median 1.49 m elapsed 96s
step 3150 loss 0.0185 lr 7.88e-04 median 2.63 m elapsed 97s
step 3200 loss 0.0130 lr 8.00e-04 median 2.88 m elapsed 99s
step 3250 loss 0.0073 lr 8.12e-04 median 2.67 m elapsed 100s
step 3300 loss 0.0130 lr 8.25e-04 median 2.63 m elapsed 102s
step 3350 loss 0.0113 lr 8.38e-04 median 1.72 m elapsed 103s
step 3400 loss 0.0351 lr 8.50e-04 median 2.78 m elapsed 105s
step 3450 loss 0.0115 lr 8.63e-04 median 2.90 m elapsed 107s
step 3500 loss 0.0226 lr 8.75e-04 median 2.96 m elapsed 108s
step 3550 loss 0.0915 lr 8.88e-04 median 3.16 m elapsed 110s
step 3600 loss 0.0721 lr 9.00e-04 median 1.48 m elapsed 111s
step 3650 loss 0.0148 lr 9.13e-04 median 1.96 m elapsed 113s
step 3700 loss 0.0160 lr 9.25e-04 median 2.68 m elapsed 114s
step 3750 loss 0.0673 lr 9.37e-04 median 1.09 m elapsed 116s
step 3800 loss 0.0091 lr 9.50e-04 median 2.88 m elapsed 117s
step 3850 loss 0.0083 lr 9.63e-04 median 2.61 m elapsed 119s
step 3900 loss 0.0054 lr 9.75e-04 median 2.90 m elapsed 120s
step 3950 loss 0.0449 lr 9.88e-04 median 2.56 m elapsed 122s
step 4000 loss 0.0137 lr 1.00e-03 median 2.61 m elapsed 124s
CALIB_DONE mambavision_da2_hr_ft 4000
