T5-24 finished, starting spread probe
2026-08-19T21:48:50+00:00

################ spread_weight=0.0 ################
2026-08-19T21:48:50+00:00
2026-08-19 21:48:51,632 work dir: work_dirs/t5-spread0.0  seed 0  commit 9dfcff6f
2026-08-19 21:48:52,073 partial init from work_dirs/v9-60k/latest.pt: 1 new tensors kept at init, 0 checkpoint tensors unused
2026-08-19 21:48:52,902 mixed dataset: 208720 clips from 5 sources (size 256)
2026-08-19 21:48:54,898 step    0  loss 2.6343  skip 0.00  lr 3.00e-07  depth_std 31.5511
2026-08-19 21:49:43,349 step   50  loss 1.7102  skip 0.01  lr 1.53e-05  depth_std 8.0730
2026-08-19 21:50:36,234 step  100  loss 2.3177  skip 0.01  lr 3.03e-05  depth_std 13.3673
2026-08-19 21:51:29,422 step  150  loss 1.5783  skip 0.02  lr 4.53e-05  depth_std 25.1323
2026-08-19 21:52:22,553 step  200  loss 1.2153  skip 0.03  lr 6.03e-05  depth_std 22.1704
2026-08-19 21:53:15,651 step  250  loss 2.1427  skip 0.03  lr 7.53e-05  depth_std 30.3992
2026-08-19 21:54:08,849 step  300  loss 2.7922  skip 0.04  lr 9.03e-05  depth_std 34.0925
2026-08-19 21:55:01,943 step  350  loss 0.6092  skip 0.04  lr 1.05e-04  depth_std 1.8996
2026-08-19 21:55:54,647 step  400  loss 2.7575  skip 0.05  lr 1.20e-04  depth_std 41.6438
2026-08-19 21:56:47,058 step  450  loss 0.7712  skip 0.06  lr 1.35e-04  depth_std 0.5737
2026-08-19 21:57:39,125 step  500  loss 1.9884  skip 0.06  lr 1.50e-04  depth_std 22.6656
2026-08-19 21:58:30,962 step  550  loss 3.3198  skip 0.07  lr 1.65e-04  depth_std 9.5244
2026-08-19 21:59:22,346 step  600  loss 2.0025  skip 0.07  lr 1.80e-04  depth_std 1.5731
2026-08-19 22:00:13,456 step  650  loss 2.0735  skip 0.08  lr 1.95e-04  depth_std 5.1463
2026-08-19 22:01:04,397 step  700  loss 2.2879  skip 0.09  lr 2.10e-04  depth_std 39.3396
2026-08-19 22:01:55,217 step  750  loss 1.2754  skip 0.09  lr 2.25e-04  depth_std 31.1466
2026-08-19 22:02:46,011 step  800  loss 2.4162  skip 0.10  lr 2.40e-04  depth_std 4.1067
2026-08-19 22:03:36,463 step  850  loss 1.6055  skip 0.11  lr 2.55e-04  depth_std 0.7351
