
################ T1-8b 60k, edge 2.0 only ################
2026-08-07T01:18:51+00:00
2026-08-07 01:18:52,347 work dir: work_dirs/v9-edge-60k  seed 0  commit c77b7f40
2026-08-07 01:18:52,841 partial init from work_dirs/main_v8/latest.pt: 1 new tensors kept at init, 0 checkpoint tensors unused
2026-08-07 01:18:53,671 mixed dataset: 208720 clips from 5 sources (size 256)
2026-08-07 01:18:55,719 step    0  loss 3.6153  skip 0.00  lr 3.00e-07  depth_std 25.3118
2026-08-07 01:19:29,459 step   50  loss 2.5273  skip 0.00  lr 1.53e-05  depth_std 6.6682
2026-08-07 01:20:12,319 step  100  loss 3.5761  skip 0.00  lr 3.03e-05  depth_std 11.6957
2026-08-07 01:20:58,393 step  150  loss 1.7172  skip 0.00  lr 4.53e-05  depth_std 21.0468
2026-08-07 01:21:48,565 step  200  loss 1.7340  skip 0.00  lr 6.03e-05  depth_std 18.5086
2026-08-07 01:22:39,786 step  250  loss 2.6315  skip 0.00  lr 7.53e-05  depth_std 18.2049
2026-08-07 01:23:31,075 step  300  loss 3.1211  skip 0.01  lr 9.03e-05  depth_std 24.7089
2026-08-07 01:24:22,002 step  350  loss 0.8662  skip 0.01  lr 1.05e-04  depth_std 2.4769
2026-08-07 01:25:13,351 step  400  loss 3.1721  skip 0.01  lr 1.20e-04  depth_std 27.6467
2026-08-07 01:26:04,779 step  450  loss 0.9124  skip 0.01  lr 1.35e-04  depth_std 0.4929
2026-08-07 01:26:56,207 step  500  loss 2.3732  skip 0.01  lr 1.50e-04  depth_std 26.3072
2026-08-07 01:27:47,629 step  550  loss 3.5500  skip 0.01  lr 1.65e-04  depth_std 13.2900
2026-08-07 01:28:39,041 step  600  loss 1.9988  skip 0.01  lr 1.80e-04  depth_std 1.8211
2026-08-07 01:29:30,442 step  650  loss 2.2107  skip 0.01  lr 1.95e-04  depth_std 8.0746
2026-08-07 01:30:21,865 step  700  loss 2.6015  skip 0.01  lr 2.10e-04  depth_std 32.1034
2026-08-07 01:31:13,282 step  750  loss 1.5262  skip 0.01  lr 2.25e-04  depth_std 27.6077
2026-08-07 01:32:04,768 step  800  loss 2.3408  skip 0.01  lr 2.40e-04  depth_std 2.4693
2026-08-07 01:32:56,177 step  850  loss 2.0352  skip 0.01  lr 2.55e-04  depth_std 0.7915
2026-08-07 01:33:47,646 step  900  loss 2.0214  skip 0.01  lr 2.70e-04  depth_std 21.4128
2026-08-07 01:34:39,090 step  950  loss 1.8254  skip 0.02  lr 2.85e-04  depth_std 3.1121
2026-08-07 01:35:30,480 step 1000  loss 3.2729  skip 0.02  lr 3.00e-04  depth_std 30.6319
2026-08-07 01:36:21,940 step 1050  loss 1.5930  skip 0.02  lr 3.00e-04  depth_std 2.4499
2026-08-07 01:37:13,358 step 1100  loss 2.4418  skip 0.02  lr 3.00e-04  depth_std 33.0903
2026-08-07 01:38:04,811 step 1150  loss 1.8100  skip 0.02  lr 3.00e-04  depth_std 28.1544
2026-08-07 01:38:56,291 step 1200  loss 7.2935  skip 0.02  lr 3.00e-04  depth_std 33.3974
2026-08-07 01:39:47,652 step 1250  loss 2.4542  skip 0.02  lr 3.00e-04  depth_std 9.4378
2026-08-07 01:40:39,162 step 1300  loss 2.2343  skip 0.02  lr 3.00e-04  depth_std 2.8605
2026-08-07 01:41:30,557 step 1350  loss 1.5276  skip 0.02  lr 3.00e-04  depth_std 1.4825
2026-08-07 01:42:21,984 step 1400  loss 3.0325  skip 0.02  lr 3.00e-04  depth_std 32.3183
2026-08-07 01:43:13,424 step 1450  loss 2.2399  skip 0.02  lr 3.00e-04  depth_std 16.2382
2026-08-07 01:44:04,847 step 1500  loss 1.8341  skip 0.03  lr 3.00e-04  depth_std 37.4484
2026-08-07 01:44:56,318 step 1550  loss 3.1534  skip 0.03  lr 3.00e-04  depth_std 8.9504
2026-08-07 01:45:47,775 step 1600  loss 1.9180  skip 0.03  lr 3.00e-04  depth_std 12.2916
2026-08-07 01:46:39,215 step 1650  loss 4.0286  skip 0.03  lr 3.00e-04  depth_std 11.6689
2026-08-07 01:47:30,724 step 1700  loss 1.7703  skip 0.03  lr 3.00e-04  depth_std 3.8516
2026-08-07 01:48:22,208 step 1750  loss 2.9953  skip 0.03  lr 3.00e-04  depth_std 5.1608
2026-08-07 01:49:13,642 step 1800  loss 3.4232  skip 0.03  lr 3.00e-04  depth_std 21.2075
2026-08-07 01:50:05,057 step 1850  loss 2.2923  skip 0.03  lr 3.00e-04  depth_std 12.7045
2026-08-07 01:50:56,477 step 1900  loss 2.7693  skip 0.03  lr 3.00e-04  depth_std 20.9277
2026-08-07 01:51:47,861 step 1950  loss 4.7375  skip 0.03  lr 3.00e-04  depth_std 45.0395
2026-08-07 01:52:39,320 step 2000  loss 2.0512  skip 0.03  lr 3.00e-04  depth_std 25.4594
2026-08-07 01:53:30,697 step 2050  loss 3.2155  skip 0.03  lr 3.00e-04  depth_std 7.2129
2026-08-07 01:54:22,054 step 2100  loss 3.4017  skip 0.04  lr 3.00e-04  depth_std 51.6007
2026-08-07 01:55:13,394 step 2150  loss 2.6684  skip 0.04  lr 3.00e-04  depth_std 2.4199
2026-08-07 01:56:04,698 step 2200  loss 2.8891  skip 0.04  lr 3.00e-04  depth_std 11.6604
2026-08-07 01:56:56,051 step 2250  loss 2.0644  skip 0.04  lr 3.00e-04  depth_std 2.9745
2026-08-07 01:57:47,341 step 2300  loss 2.8211  skip 0.04  lr 3.00e-04  depth_std 29.9593
2026-08-07 01:58:38,631 step 2350  loss 4.6151  skip 0.04  lr 3.00e-04  depth_std 6.3200
2026-08-07 01:59:29,926 step 2400  loss 1.9181  skip 0.04  lr 3.00e-04  depth_std 1.9009
2026-08-07 02:00:21,238 step 2450  loss 1.6456  skip 0.04  lr 3.00e-04  depth_std 1.2256
2026-08-07 02:01:12,427 step 2500  loss 3.3091  skip 0.04  lr 3.00e-04  depth_std 39.4049
2026-08-07 02:02:03,579 step 2550  loss 0.6919  skip 0.04  lr 2.99e-04  depth_std 1.9023
2026-08-07 02:02:54,759 step 2600  loss 1.2885  skip 0.04  lr 2.99e-04  depth_std 1.7861
2026-08-07 02:03:46,018 step 2650  loss 2.1535  skip 0.04  lr 2.99e-04  depth_std 8.1975
2026-08-07 02:04:37,187 step 2700  loss 1.2181  skip 0.04  lr 2.99e-04  depth_std 13.3010
2026-08-07 02:05:28,247 step 2750  loss 2.4994  skip 0.05  lr 2.99e-04  depth_std 37.1448
2026-08-07 02:06:19,307 step 2800  loss 2.2056  skip 0.05  lr 2.99e-04  depth_std 1.0293
2026-08-07 02:07:10,195 step 2850  loss 1.0161  skip 0.05  lr 2.99e-04  depth_std 1.1945
2026-08-07 02:08:01,256 step 2900  loss 2.2464  skip 0.05  lr 2.99e-04  depth_std 3.6803
2026-08-07 02:08:52,177 step 2950  loss 3.6200  skip 0.05  lr 2.99e-04  depth_std 19.4849
2026-08-07 02:09:43,183 step 3000  loss 3.9711  skip 0.05  lr 2.99e-04  depth_std 3.5736
2026-08-07 02:10:34,103 step 3050  loss 2.2565  skip 0.05  lr 2.99e-04  depth_std 36.9831
2026-08-07 02:11:24,909 step 3100  loss 3.9923  skip 0.05  lr 2.99e-04  depth_std 2.0399
